Date,Code,Name,buy_A_d0종가,buy_B_d1시가,buy_C_d1종가,매도가180일,매도일,ret_A,ret_B,ret_C,peak_180d,Year
2023-08-08,000500,가온전선,21131.0,21178.0,21609.0,52100.0,2024-05-07,146.55719085703467,146.01001038813862,141.1032440186959,156.49519663054278,2023
2023-08-07,000500,가온전선,20366.0,20461.0,21131.0,45100.0,2024-05-03,121.44751055681039,120.41933434338499,113.43050494534097,165.14779534518317,2023
2023-08-02,000500,가온전선,22470.0,22660.0,21131.0,49400.0,2024-04-29,119.84868713840675,118.0052956751986,133.77975486252427,140.32042723631508,2023
2023-08-01,007810,코리아써키트,19090.0,18700.0,17860.0,15730.0,2024-04-26,-17.60083813514929,-15.88235294117647,-11.92609182530795,18.124672603457313,2023
2023-08-01,000500,가온전선,21514.0,21609.0,22470.0,47100.0,2024-04-26,118.9272101887143,117.96473691517421,109.61281708945259,124.50497350562424,2023
2023-07-31,000500,가온전선,21705.0,21944.0,21514.0,37700.0,2024-04-25,73.69269753513015,71.80094786729858,75.23473087291997,121.83828610919143,2023
2023-07-31,007810,코리아써키트,18270.0,18360.0,19090.0,15730.0,2024-04-25,-13.90257252326218,-14.324618736383442,-17.60083813514929,23.426382047071705,2023
2023-07-28,000500,가온전선,21179.0,21179.0,21705.0,40400.0,2024-04-24,90.75499315359554,90.75499315359554,86.13222759732781,127.34784456301051,2023
2023-07-28,007810,코리아써키트,18510.0,19120.0,18270.0,15880.0,2024-04-24,-14.2085359265262,-16.945606694560666,-13.081554460864808,21.826039978390057,2023
2023-07-27,036930,주성엔지니어링,26600.0,28050.0,28850.0,32050.0,2024-04-23,20.48872180451127,14.2602495543672,11.09185441941074,55.82706766917293,2023
2023-07-27,007810,코리아써키트,18410.0,18670.0,18510.0,15410.0,2024-04-23,-16.29549158066268,-17.461167648634166,-16.74770394381415,22.487778381314506,2023
2023-07-27,060370,LS마린솔루션,9584.0,10048.0,10145.0,9040.0,2024-04-23,-5.6761268781302165,-10.031847133757966,-10.892065056678168,39.085976627712846,2023
2023-07-21,039200,오스코텍,26050.0,26200.0,27900.0,28500.0,2024-04-17,9.404990403071011,8.778625954198471,2.1505376344086002,38.19577735124759,2023
2023-07-21,089970,브이엠,18410.0,18680.0,18710.0,15770.0,2024-04-17,-14.340032590983165,-15.578158458244108,-15.713522180652062,3.0961434003259125,2023
2023-07-20,028300,HLB,32476.0,32238.0,31952.0,95100.0,2024-04-16,192.8316295110235,194.99348594825983,197.6339509263896,297.2164059613253,2023
2023-07-17,310210,보로노이,39150.0,39231.0,36693.0,30800.0,2024-04-11,-21.328224776500637,-21.49065789809079,-16.060283977870437,110.24776500638569,2023
2023-07-17,007810,코리아써키트,20650.0,20700.0,19900.0,16700.0,2024-04-11,-19.128329297820823,-19.323671497584538,-16.080402010050253,9.200968523002429,2023
2023-07-14,083650,비에이치아이,11050.0,11040.0,9860.0,8480.0,2024-04-09,-23.257918552036195,-23.188405797101453,-13.995943204868155,-0.09049773755656076,2023
2023-07-14,007810,코리아써키트,20200.0,21250.0,20650.0,16760.0,2024-04-09,-17.029702970297034,-21.129411764705885,-18.837772397094433,11.633663366336645,2023
