Date,Code,Name,Market,Score,Close,preset,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,peak_180d,ret_180d,sell_date,sell_close,Amount,past_60,past_120,past_240,slope60,slope120,pos_252_high,drawdown60,new_high_252,vol20,vol60,range60_pct,range120_pct,days_since_52w_low,days_since_52w_high,pos_60_high,pos_120_high,pos_240_high,past_5d,past_20,runup60,For_5d,For_20d,Inst_5d,Inst_20d,PER_num,PBR_num,외인소진율_num,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,Year,is_loser,is_sw,is_100,is_50,p_loss,p_sw,p_100plus,p_50plus,p_30plus,p_10plus,SuperScore,window,_pct,_bin_p_sw,_bin_p_100plus,_bin_p_50plus,_bin_p_30plus,_bin_p_10plus,_bin_p_loss,매출_YoY,영업이익_YoY,영업이익률_변화,PER,PBR,영업이익률,성장그룹,_매출bin
2025-05-15,089970,브이엠,KOSDAQ,45.76,12440.0,pullback,0.0,77.0,58.0,100,0.0,47.6,0,66.6,0,29.0,0,100,True,5.7,6.6,13.09,0.25,0.91,,12106.67,11928.0,11786.0,False,가짜 눌림,True,False,False,170.90032154340835,119.0514469453376,2026-02-06,27250.0,7088125400.0,42.988505747126425,70.17783857729138,-22.006269592476492,0.4909756534530367,0.4909756534530367,-40.620525059665866,-5.614567526555392,0,4.12478542085869,4.305488970209048,55.05882352941176,55.05882352941176,157,336,-40.620525059665866,-40.620525059665866,-40.620525059665866,3.582375478927202,14.329501915708809,42.988505747126425,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,1,1,0.2685443956906672,0.2678351262291476,0.4592202622422778,0.5701083548155059,0.7061095945118315,0.906733950306935,2.0220913233737985,2025,1.0,"(0.25, 0.3]","(0.4, 0.5]","(0.5, 0.6]","(0.7, 0.8]","(0.9, 0.95]","(0.25, 0.3]",170.3846153846154,21.818181818181817,29.909999999999997,-50.96,1.3,-12.24,🚀 매출+영업이익 폭발,"(29.526, 4923.529]"
2025-05-16,347700,스피어,KOSDAQ,40.48,11000.0,pullback,30.0,20.2,47.6,100,45.0,22.8,0,33.7,0,78.9,0,70,True,1.21,4.76,19.31,0.24,1.159,,10646.67,10128.0,9815.0,False,보통 조정,True,False,False,265.90909090909093,237.72727272727275,2026-02-09,37150.0,6250266000.0,39.240506329113934,269.74789915966386,479.5574288724974,0.4738930873243279,0.4738930873243279,-1.7857142857142905,-1.7857142857142905,0,4.196041434477118,4.725891149386971,87.60469011725294,87.60469011725294,326,1,-1.7857142857142905,-1.7857142857142905,-1.7857142857142905,3.2700421940928277,13.08016877637131,39.240506329113934,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.1684256986441386,0.2318874138108469,0.5231481481481481,0.5214712581831226,0.5920101398222635,0.8755283724678269,2.221927527601238,2025,1.0,"(0.2, 0.25]","(0.5, 1.0]","(0.5, 0.6]","(0.5, 0.6]","(0.85, 0.9]","(0.15, 0.2]",4923.529411764705,267.032967032967,567.25,8.05,5.38,17.77,🚀 매출+영업이익 폭발,"(29.526, 4923.529]"
2025-05-19,030530,원익홀딩스,KOSDAQ,60.27,5310.0,default,30.0,100.0,100.0,100,72.3,22.7,0,69.7,0,56.4,0,100,True,10.11,16.83,19.33,0.77,1.086,,4815.0,4679.0,4509.5,False,보통 조정,True,False,False,852.919020715631,582.6741996233521,2026-02-10,36250.0,262664863560.0,47.295423023578365,103.05927342256216,42.741935483870975,0.0221207027392053,0.0221207027392053,-9.999999999999998,-9.999999999999998,0,4.797011864182672,6.945429158468362,85.8267716535433,85.8267716535433,160,0,-9.999999999999998,-9.999999999999998,-9.999999999999998,3.941285251964864,15.765141007859455,47.295423023578365,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2901690845237678,0.3727324842333822,0.5193812447333573,0.6588258570215924,0.784135345155016,0.8890997374877752,2.6907435140839144,2025,1.0,"(0.3, 0.4]","(0.5, 1.0]","(0.6, 0.7]","(0.7, 0.8]","(0.85, 0.9]","(0.25, 0.3]",-13.875917278185456,-33.18777292576419,-1.37,-2.64,0.2,4.74,❌ 역성장,"(-58.927, -13.876]"
2025-05-20,030530,원익홀딩스,KOSDAQ,46.73,5480.0,pullback,30.0,71.3,26.5,100,0.0,0.0,0,96.5,0,63.1,0,100,True,5.13,5.59,26.85,1.62,1.104,,5125.0,4911.0,4644.0,False,보통 조정,True,False,False,823.3576642335767,546.8978102189781,2026-02-11,35450.0,203819020960.0,64.07185628742515,109.96168582375478,47.11409395973154,0.0422286945536825,0.0422286945536825,-7.899159663865552,-7.899159663865552,0,4.811515097873644,6.950794805190136,87.4015748031496,87.4015748031496,161,0,-7.899159663865552,-7.899159663865552,-7.899159663865552,5.339321357285429,21.357285429141715,64.07185628742515,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2729802497244357,0.3190243432714278,0.5193812447333573,0.6467153858947278,0.8351857553603557,0.9346629068906211,2.4616588425452743,2025,1.0,"(0.3, 0.4]","(0.5, 1.0]","(0.6, 0.7]","(0.8, 0.9]","(0.9, 0.95]","(0.25, 0.3]",-13.875917278185456,-33.18777292576419,-1.37,-2.64,0.2,4.74,❌ 역성장,"(-58.927, -13.876]"
2025-05-21,006800,미래에셋증권,KOSPI,44.67,13501.0,pullback,30.0,22.7,43.1,100,72.0,77.6,0,20.5,0,84.0,0,70,True,1.36,4.31,5.61,0.0,1.18,,13013.0,12951.2,12682.4,False,보통 조정,True,False,False,314.4655951411006,293.81527294274497,2026-02-12,53169.0,27575833003.0,56.587798654604505,57.50116658889408,82.02777403262775,0.6482482831845935,0.6482482831845935,0.0,0.0,1,2.8507638860193154,2.895141316821125,62.21314429893068,62.21314429893068,289,0,0.0,0.0,0.0,4.715649887883709,18.862599551534835,56.587798654604505,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.1376799914033956,0.2318874138108469,0.2708585000307119,0.433453737149208,0.5580006042540733,0.8213854639701785,1.7215678320546797,2025,1.0,"(0.2, 0.25]","(0.25, 0.3]","(0.4, 0.5]","(0.5, 0.6]","(0.8, 0.85]","(0.1, 0.15]",9.26333474155802,128.042226487524,2.78,6.55,0.39,5.34,📈 안정 성장,"(-0.187, 11.589]"
2025-05-22,082920,비츠로셀,KOSDAQ,48.37,14837.0,pullback,30.0,35.8,13.8,100,70.0,52.8,0,65.9,0,39.7,0,100,True,2.15,1.38,11.79,0.75,0.998,,14500.33,14165.8,13540.0,False,가짜 눌림,True,True,False,54.343870054593246,38.168093280312746,2026-02-13,20500.0,5674484835.0,14.624536464771332,41.345146232256845,45.19033173500342,-0.0272797502019208,-0.0272797502019208,-1.670090794618595,-1.0074726447824922,0,2.200980907635961,3.2346319008730195,38.13824884792626,38.13824884792626,255,120,-1.670090794618595,-1.670090794618595,-1.670090794618595,1.2187113720642777,4.874845488257111,14.624536464771332,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,1,0.1653650324382032,0.0707819110748169,0.3048087436878663,0.5989641540494794,0.7655591669676176,0.8850622319356517,1.0663960994846873,2025,1.0,"(0.05, 0.1]","(0.3, 0.4]","(0.5, 0.6]","(0.7, 0.8]","(0.85, 0.9]","(0.15, 0.2]",19.63677639046538,37.6657824933687,3.2399999999999984,9.39,1.69,24.63,🚀 매출+영업이익 폭발,"(11.589, 29.526]"
2025-05-23,006800,미래에셋증권,KOSPI,40.74,13531.0,pullback,30.0,12.0,2.2,100,70.2,83.8,0,17.1,0,67.5,0,70,True,0.72,0.45,4.06,4.98,1.116,,13468.0,13188.4,12978.2,False,보통 조정,True,False,False,434.9641563816421,418.771709408026,2026-02-19,70195.0,15866518255.0,54.95877233165369,55.671882190520016,82.18661639962299,0.6958708043312407,0.6958708043312407,-2.161966738973242,-2.161966738973242,0,2.8318239404290435,2.87101235510964,66.16604589691218,66.16604589691218,291,0,-2.161966738973242,-2.161966738973242,-2.161966738973242,4.579897694304474,18.319590777217897,54.95877233165369,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.1177964450007394,0.2318874138108469,0.2154958842803484,0.4194459636256855,0.5449875912410602,0.7959215664525474,1.6564854662383983,2025,1.0,"(0.2, 0.25]","(0.2, 0.25]","(0.4, 0.5]","(0.5, 0.6]","(0.7, 0.8]","(0.1, 0.15]",9.26333474155802,128.042226487524,2.78,6.55,0.39,5.34,📈 안정 성장,"(-0.187, 11.589]"
2025-05-26,290650,엘앤씨바이오,KOSDAQ,47.54,32400.0,pullback,30.0,42.9,40.1,100,73.2,0.0,0,100.0,0,99.0,0,80,True,2.57,4.01,44.64,0.68,1.241,,30483.33,29090.0,25925.0,False,보통 조정,True,True,False,276.85185185185185,265.12345679012344,2026-02-20,118300.0,17451482400.0,39.6551724137931,94.01197604790418,67.09644146467251,0.236308851676207,0.236308851676207,-2.556390977443612,-2.556390977443612,0,4.99321067428818,3.7313433684451502,79.82693347755544,79.82693347755544,192,0,-2.556390977443612,-2.556390977443612,-2.556390977443612,3.3045977011494254,13.218390804597702,39.6551724137931,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2574336055489609,0.1623353160461143,0.3556080882695944,0.6370320043453868,0.7992583263796922,0.9162705483577884,1.3876239444682643,2025,1.0,"(0.15, 0.2]","(0.3, 0.4]","(0.6, 0.7]","(0.7, 0.8]","(0.9, 0.95]","(0.25, 0.3]",9.256449165402124,-51.85185185185185,-6.96,3.86,1.95,5.37,⚠️ 매출만↑/이익↓,"(-0.187, 11.589]"
2025-05-27,034020,두산에너빌리티,KOSPI,48.69,42350.0,pullback,30.0,16.4,38.0,100,53.7,44.6,0,54.1,0,100.0,0,80,True,0.99,3.8,13.84,0.13,1.288,,41550.0,40400.0,37135.0,False,보통 조정,False,True,False,152.18417945690672,140.8500590318772,2026-02-23,102000.0,446235301050.0,56.56192236598891,101.187648456057,105.58252427184468,0.6636884788037575,0.6636884788037575,-1.166861143523923,-1.166861143523923,0,3.1102594457288144,3.774519631015205,114.67935871743488,114.67935871743488,295,1,-1.166861143523923,-1.166861143523923,-1.166861143523923,4.713493530499076,18.853974121996306,56.56192236598891,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,1,1,0.3128497238523709,0.2178705746068521,0.3506814320567806,0.480032982355938,0.6927975617114193,0.8918908617151012,1.332199547946647,2025,1.0,"(0.2, 0.25]","(0.3, 0.4]","(0.4, 0.5]","(0.6, 0.7]","(0.85, 0.9]","(0.3, 0.4]",-7.713517416244549,-30.648129216929053,-2.0700000000000003,100.95,1.5,6.27,❌ 역성장,"(-13.876, -0.187]"
2025-05-28,089970,브이엠,KOSDAQ,45.65,13440.0,pullback,30.0,28.9,54.1,100,71.2,80.0,0,0.0,35,23.4,0,85,True,1.73,5.83,5.0,0.03,0.864,MA480,12940.0,12726.0,12704.0,False,진짜 지지,False,False,False,208.4077380952381,207.66369047619045,2026-02-24,41350.0,3027776640.0,40.88050314465408,105.50458715596332,-13.569131832797432,0.5024788812622772,0.5024788812622772,-35.8472553699284,-0.1485884101040113,0,3.7728650121426592,4.149127299772507,56.329849012775846,56.329849012775846,170,349,-35.8472553699284,-35.8472553699284,-35.8472553699284,3.40670859538784,13.62683438155136,40.88050314465408,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.2525729023423546,0.2070341092080222,0.4574707890405183,0.5620969412948738,0.7105490295145467,0.919213266086686,1.7544903583889575,2025,1.0,"(0.2, 0.25]","(0.4, 0.5]","(0.5, 0.6]","(0.7, 0.8]","(0.9, 0.95]","(0.25, 0.3]",170.3846153846154,21.818181818181817,29.909999999999997,-50.96,1.3,-12.24,🚀 매출+영업이익 폭발,"(29.526, 4923.529]"
2025-05-29,006800,미래에셋증권,KOSPI,62.93,16488.0,default,30.0,97.8,96.0,100,89.2,6.8,0,77.7,0,100.0,0,70,True,7.78,14.21,23.3,0.44,1.3,,14403.67,14070.4,13576.6,True,보통 조정,True,False,False,358.34546336729744,340.2292576419214,2026-02-25,72585.0,214878277152.0,94.5945945945946,93.90803245913206,127.17001928906036,0.8153061642088227,0.8153061642088227,-5.2086926526388355,-5.2086926526388355,0,5.67447813527974,4.063547387265591,108.98714405863272,108.98714405863272,297,0,-5.2086926526388355,-5.2086926526388355,-5.2086926526388355,7.8828828828828845,31.531531531531535,94.5945945945946,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,1,1,1,0.262385920167991,0.3190243432714278,0.7231481481481481,0.8573099415204678,0.8678859157200906,0.9224330708211084,3.1115701936699303,2025,1.0,"(0.3, 0.4]","(0.5, 1.0]","(0.8, 0.9]","(0.8, 0.9]","(0.9, 0.95]","(0.25, 0.3]",9.26333474155802,128.042226487524,2.78,6.55,0.39,5.34,📈 안정 성장,"(-0.187, 11.589]"
2025-05-30,032500,케이엠더블유,KOSDAQ,63.67,11420.0,default,30.0,100.0,100.0,100,97.6,0.0,0,100.0,35,55.2,0,70,True,46.4,29.77,36.6,0.0,1.082,MA480,9556.67,9086.0,8774.0,True,보통 조정,True,False,False,90.01751313485113,65.58669001751313,2026-02-26,18910.0,25835317540.0,41.68734491315136,35.14792899408283,-23.560910307898265,0.3162395432298759,0.3162395432298759,-32.26571767497034,0.0,0,6.858909888747338,4.696924846546359,69.18518518518518,69.18518518518518,263,373,-32.26571767497034,-32.26571767497034,-32.26571767497034,3.47394540942928,13.89578163771712,41.68734491315136,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,1,0.2712282892087522,0.3727324842333822,0.6797619047619047,0.6070241255709093,0.755703613715838,0.9122688216422414,3.0165254886353727,2025,1.0,"(0.3, 0.4]","(0.5, 1.0]","(0.6, 0.7]","(0.7, 0.8]","(0.9, 0.95]","(0.25, 0.3]",-12.687312687312687,27.662957074721778,10.75,-9.06,2.43,-52.06,📉 매출감소,"(-13.876, -0.187]"
