Date,YYYYMM,Year,Code,Name,Market,Close,peak_180d,ret_180d,sell_date,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num
2022-07-28,2022-07,2022,009520,포스코엠텍,KOSDAQ,6180.0,540.7766990291262,406.4724919093851,2023-04-19,51.1,69424451400.0,pullback_recovery,-17.966573816155986,-15.736766809728186,-34.98896247240618,-54544.0,4030.0,-122773.0,-4459.0,168.77,6.52,745000000000.0
2024-12-18,2024-12,2024,097230,HJ중공업,KOSPI,5390.0,537.2912801484231,513.1725417439703,2025-09-16,51.83,30327276980.0,persistent_uptrend,51.07913669064747,22.98682284040996,-9.967845659163988,,,,,37.27,3.04,2036200000000.0
2022-09-14,2022-09,2022,086520,에코프로,KOSDAQ,25613.0,528.1458634287276,407.11357513762545,2023-06-07,42.19,220556155526.0,new_high_120,67.34536803806326,36.11632804052132,-18.79604794078702,149849.0,-3903.0,-49586.0,77708.0,,10.03,19891200000000.0
2021-03-04,2021-03,2021,052690,한전기술,KOSPI,19100.0,509.94764397905755,395.8115183246074,2021-11-23,52.25,18595855500.0,mixed,6.606606606606613,8.231707317073166,-7.0680628272251305,155865.0,156272.0,140375.0,186799.0,65.58,8.92,5599200000000.0
2020-08-11,2020-08,2020,027360,아주IB투자,KOSDAQ,1540.0,507.1428571428571,355.8441558441558,2021-05-06,57.5,10653890940.0,sideways,12.400000000000011,6.844106463878319,-6.020066889632103,,,,,228.7,7.09,1911700000000.0
2025-08-08,2025-08,2025,009150,삼성전기,KOSPI,160100.0,506.49594003747654,470.89319175515305,2026-05-08,53.37,107411410200.0,new_high_240,23.25396825396826,7.474048442906578,-2.6942355889724268,310515.0,212604.0,1297320.0,359607.0,147.27,10.61,100089600000000.0
2025-05-02,2025-05,2025,347850,디앤디파마텍,KOSDAQ,18868.0,502.60758956964173,426.28789484842065,2026-01-28,47.31,52085434756.0,new_high_240,18.65766146053187,63.39856616934703,0.0,-119650.0,-53037.0,147593.0,-100551.0,,38.17,3053100000000.0
2025-08-05,2025-08,2025,009150,삼성전기,KOSPI,155700.0,494.0912010276172,489.5953757225434,2026-05-04,56.23,150251434200.0,mixed,27.589134125636683,8.519855595667881,-10.535714285714281,983876.0,391554.0,1181495.0,126284.0,147.27,10.61,100089600000000.0
2022-08-02,2022-08,2022,009520,포스코엠텍,KOSDAQ,6680.0,492.814371257485,324.4011976047904,2023-04-24,52.14,75736858040.0,V_recovery,-13.888888888888884,-15.760869565217394,-31.56732891832229,3160.0,-28.0,-171037.0,-3678.0,168.77,6.52,745000000000.0
2024-12-20,2024-12,2024,097230,HJ중공업,KOSPI,5850.0,487.1794871794871,395.7264957264957,2025-09-18,50.76,52970211450.0,persistent_uptrend,89.76234003656307,53.77777777777777,-3.710575139146566,,,,,37.27,3.04,2036200000000.0
2024-12-20,2024-12,2024,097230,HJ중공업,KOSPI,5850.0,487.1794871794871,395.7264957264957,2025-09-18,49.6,52970211450.0,persistent_uptrend,89.76234003656307,53.77777777777777,-3.710575139146566,,,,,37.27,3.04,2036200000000.0
2024-12-20,2024-12,2024,097230,HJ중공업,KOSPI,5850.0,487.1794871794871,395.7264957264957,2025-09-18,54.6,52970211450.0,persistent_uptrend,89.76234003656307,53.77777777777777,-3.710575139146566,,,,,37.27,3.04,2036200000000.0
2024-12-20,2024-12,2024,097230,HJ중공업,KOSPI,5850.0,487.1794871794871,395.7264957264957,2025-09-18,47.46,52970211450.0,persistent_uptrend,89.76234003656307,53.77777777777777,-3.710575139146566,,,,,37.27,3.04,2036200000000.0
2025-08-04,2025-08,2025,009150,삼성전기,KOSPI,150300.0,483.4996673320027,453.5595475715236,2026-04-30,54.19,127798887600.0,mixed,21.132713440405748,6.463595839524516,-16.637579988365324,892821.0,260179.0,1082005.0,-38954.0,147.27,10.61,100089600000000.0
2020-10-26,2020-10,2020,011200,HMM,KOSPI,8820.0,479.36507936507934,388.6621315192744,2021-07-15,49.12,204629900580.0,new_high_240,56.09284332688589,124.16666666666667,0.0,1655087.0,2422503.0,-126686.0,3076518.0,13.41,0.7,19336400000000.0
2023-03-13,2023-03,2023,065350,신성델타테크,KOSDAQ,12210.0,470.02457002457004,222.68632268632268,2023-12-04,64.58,138788774520.0,mixed,8.777777777777773,-6.315789473684208,-38.037974683544306,9802.0,-28840.0,-60098.0,-130161.0,62.15,5.42,1349500000000.0
2023-03-13,2023-03,2023,065350,신성델타테크,KOSDAQ,12210.0,470.02457002457004,222.68632268632268,2023-12-04,56.7,138788774520.0,mixed,8.777777777777773,-6.315789473684208,-38.037974683544306,9802.0,-28840.0,-60098.0,-130161.0,62.15,5.42,1349500000000.0
2023-03-13,2023-03,2023,065350,신성델타테크,KOSDAQ,12210.0,470.02457002457004,222.68632268632268,2023-12-04,60.25,138788774520.0,mixed,8.777777777777773,-6.315789473684208,-38.037974683544306,9802.0,-28840.0,-60098.0,-130161.0,62.15,5.42,1349500000000.0
2025-08-18,2025-08,2025,126340,비나텍,KOSDAQ,35903.0,469.59028493440655,331.9973261287358,2026-05-15,65.83,17201809457.0,sideways,7.757888658673284,17.447800977343398,-21.191872019077906,129552.0,75468.0,144122.0,66681.0,,14.18,1207300000000.0
2025-08-18,2025-08,2025,126340,비나텍,KOSDAQ,35903.0,469.59028493440655,331.9973261287358,2026-05-15,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-21.191872019077906,129552.0,75468.0,144122.0,66681.0,,14.18,1207300000000.0
2025-08-18,2025-08,2025,126340,비나텍,KOSDAQ,35903.0,469.59028493440655,331.9973261287358,2026-05-15,65.63,17201809457.0,sideways,7.757888658673284,17.447800977343398,-21.191872019077906,129552.0,75468.0,144122.0,66681.0,,14.18,1207300000000.0
2024-09-20,2024-09,2024,124500,아이티센글로벌,KOSDAQ,5720.0,468.1818181818182,437.5874125874126,2025-06-23,62.6,23287761640.0,box_breakout,16.62707838479811,-40.4126213592233,-59.65488907148726,571926.0,3299.0,55592.0,3299.0,21.15,8.44,1211300000000.0
2024-09-20,2024-09,2024,124500,아이티센글로벌,KOSDAQ,5720.0,468.1818181818182,437.5874125874126,2025-06-23,58.73,23287761640.0,box_breakout,16.62707838479811,-40.4126213592233,-59.65488907148726,571926.0,3299.0,55592.0,3299.0,21.15,8.44,1211300000000.0
2024-09-20,2024-09,2024,124500,아이티센글로벌,KOSDAQ,5720.0,468.1818181818182,437.5874125874126,2025-06-23,55.42,23287761640.0,box_breakout,16.62707838479811,-40.4126213592233,-59.65488907148726,571926.0,3299.0,55592.0,3299.0,21.15,8.44,1211300000000.0
2023-01-30,2023-01,2023,007660,이수페타시스,KOSPI,7420.0,467.5067385444744,225.70080862533692,2023-10-24,75.88,86265150020.0,mixed,14.460176991150453,-12.726045883940618,-22.40220782337413,1211571.0,419041.0,1264085.0,247178.0,53.16,12.25,9256900000000.0
2023-01-30,2023-01,2023,007660,이수페타시스,KOSPI,7420.0,467.5067385444744,225.70080862533692,2023-10-24,68.69,86265150020.0,mixed,14.460176991150453,-12.726045883940618,-22.40220782337413,1211571.0,419041.0,1264085.0,247178.0,53.16,12.25,9256900000000.0
2023-01-30,2023-01,2023,007660,이수페타시스,KOSPI,7420.0,467.5067385444744,225.70080862533692,2023-10-24,67.58,86265150020.0,mixed,14.460176991150453,-12.726045883940618,-22.40220782337413,1211571.0,419041.0,1264085.0,247178.0,53.16,12.25,9256900000000.0
