Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,SuperScore,StrongScore,예상peak%,슈퍼위너확률%,100%+확률,50%+확률,손절확률%,Score,past_60,past_120,pos_252_high,slope60,기준일
2026-05-15,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+56% (대상승),011780,금호석유화학,KOSPI,144700.0,30360809300.0,2.92,2.03,55.7,54.7,53.3,53.6,47.4,49.4,0.34674063800277377,24.849007765314933,-10.84411583487369,0.09278918963200457,2026-05-15
2026-05-15,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+59% (대상승),001800,오리온홀딩스,KOSPI,28300.0,48502124800.0,2.91,2.04,58.8,56.1,57.7,56.9,54.1,78.85,14.343434343434346,44.90527393753201,-5.509181969949917,0.046432329365476865,2026-05-15
2026-05-12,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),009540,HD한국조선해양,KOSPI,464500.0,146941788000.0,2.91,2.03,52.5,53.5,54.1,53.5,46.0,40.38,21.596858638743456,5.808656036446469,-6.066734074823055,0.1486056238972788,2026-05-12
2026-05-14,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),141080,리가켐바이오,KOSDAQ,195900.0,93212746200.0,2.91,2.03,51.7,54.5,53.3,53.7,47.2,42.5,9.686450167973115,10.553047404063198,-12.93333333333333,0.06361046371959216,2026-05-14
2026-05-11,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),007070,GS리테일,KOSPI,25900.0,8869998900.0,2.86,2.01,52.5,53.3,55.6,55.7,49.2,41.31,23.33333333333334,20.185614849187928,-3.1775700934579487,0.24428667616928543,2026-05-11
2026-05-15,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+64% (대상승),204320,HL만도,KOSPI,61700.0,134500693800.0,2.84,1.99,64.5,56.1,58.1,55.8,56.3,40.07,6.013745704467355,72.10599721059971,-18.601583113456467,0.04381700681465714,2026-05-15
2026-05-11,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),096770,SK이노베이션,KOSPI,132700.0,93049770800.0,2.83,1.98,52.1,53.3,54.3,53.4,48.4,42.07,20.966271649954415,4.901185770750982,-14.607464607464603,0.26805907352933833,2026-05-11
2026-05-12,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+56% (대상승),011780,금호석유화학,KOSPI,142400.0,17134137600.0,2.83,1.97,55.5,53.1,53.0,53.1,47.3,43.76,2.446043165467615,17.68595041322314,-12.261244608749234,0.020272500897570957,2026-05-12
2026-05-11,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+65% (대상승),204320,HL만도,KOSPI,62100.0,62379450000.0,2.8,1.97,64.8,55.3,58.2,56.2,56.3,40.49,7.068965517241388,66.0427807486631,-18.07387862796834,-0.10561317871388494,2026-05-11
2026-05-15,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),003230,삼양식품,KOSPI,1444000.0,126075640000.0,2.79,1.95,52.5,52.4,53.9,52.9,47.8,42.69,21.344537815126042,5.247813411078717,-13.27327327327328,0.37296433660867756,2026-05-15
