n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,filter,sort,mode,combo,set,invest_10m,profit_10m,final_10m,ret_pct_overall
113,647,13,11.50442477876106,24,21.238938053097343,49,43.36283185840708,80.95168886245857,29.104369627664504,51.32743362831859,F09_slope05_과열X,S06_변동성높,daily_1,F09_slope05_과열X__S06_변동성높,FULL_daily_1,11300000,3288793.767926089,14588793.76792609,29.104369627664507
111,649,12,10.81081081081081,21,18.91891891891892,47,42.34234234234234,79.44288854999824,28.560905533233747,54.95495495495496,F09_slope05_과열X,S07_slope강한,daily_1,F09_slope05_과열X__S07_slope강한,FULL_daily_1,11100000,3170260.514188946,14270260.514188945,28.56090553323375
99,661,5,5.05050505050505,15,15.151515151515152,35,35.35353535353536,60.28834598059256,16.829684185901957,52.52525252525253,F09_slope05_과열X,S08_외인매수강,daily_1,F09_slope05_과열X__S08_외인매수강,FULL_daily_1,9900000,1666138.7344042938,11566138.734404294,16.829684185901957
114,646,8,7.017543859649122,21,18.421052631578945,52,45.614035087719294,69.30119800829826,22.866649370120797,57.89473684210527,F09_slope05_과열X,S09_52주고점근접,daily_1,F09_slope05_과열X__S09_52주고점근접,FULL_daily_1,11400000,2606798.028193771,14006798.028193772,22.866649370120797
113,647,11,9.734513274336283,21,18.58407079646018,54,47.78761061946903,78.45278065231119,26.04272655261248,57.52212389380531,F09_slope05_과열X,S10_랜덤,daily_1,F09_slope05_과열X__S10_랜덤,FULL_daily_1,11300000,2942828.10044521,14242828.100445211,26.04272655261248
189,587,33,17.46031746031746,68,35.978835978835974,110,58.20105820105819,115.9095058989416,54.96152978755464,65.07936507936508,F10_KOSDAQ만,S01_거래대금낮,daily_1,F10_KOSDAQ만__S01_거래대금낮,FULL_daily_1,18900000,10387729.129847826,29287729.129847825,54.96152978755464
169,607,31,18.34319526627219,60,35.50295857988166,91,53.84615384615385,116.6604065332313,52.141428333729614,58.57988165680473,F10_KOSDAQ만,S02_거래대금높,daily_1,F10_KOSDAQ만__S02_거래대금높,FULL_daily_1,16900000,8811901.388400305,25711901.388400305,52.141428333729614
182,594,30,16.483516483516482,66,36.26373626373626,102,56.04395604395605,112.92669350042516,52.751522164684445,62.08791208791209,F10_KOSDAQ만,S03_점수낮,daily_1,F10_KOSDAQ만__S03_점수낮,FULL_daily_1,18200000,9600777.03397257,27800777.03397257,52.75152216468445
185,591,34,18.37837837837838,71,38.37837837837838,107,57.83783783783784,119.70760579174986,56.21219785004902,63.24324324324324,F10_KOSDAQ만,S04_점수높,daily_1,F10_KOSDAQ만__S04_점수높,FULL_daily_1,18500000,10399256.60225907,28899256.60225907,56.21219785004903
178,598,34,19.101123595505616,63,35.39325842696629,101,56.74157303370787,115.5373451005852,53.95535626825467,61.79775280898876,F10_KOSDAQ만,S05_변동성낮,daily_1,F10_KOSDAQ만__S05_변동성낮,FULL_daily_1,17800000,9604053.415749332,27404053.415749334,53.955356268254675
