Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close,_score_pct,등급,가능성태그,week
2025-04-14,2025,030530,원익홀딩스,KOSDAQ,4245.0,55316365770.0,0.7574909553334014,0.77222650010152,0.6931374424459883,0.7076728174699306,0.4870515279863067,3.149847002625859,4.563890635357115,-0.3267745625456841,5.1396519134024805,846.9964664310954,1091.9905771495878,40200.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-15
2025-04-11,2025,089970,브이엠,KOSDAQ,11000.0,444565000.0,0.7154614263292287,0.6538779457004068,0.6388369763548197,0.6641035654922945,0.5369307392422901,2.692176695408536,3.9131077816749062,-0.7176095888720413,4.469960567080837,160.0,206.36363636363637,28600.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-14
2025-04-10,2025,089970,브이엠,KOSDAQ,11200.0,923182400.0,0.747986204154795,0.6958559864919133,0.6578740948868056,0.6641261050417964,0.5398202249438632,2.865976237201334,4.170056413813018,-0.7129748197489176,4.780760916828633,171.42857142857144,200.89285714285717,30400.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-14
2025-04-09,2025,298380,에이비엘바이오,KOSDAQ,52600.0,362593997200.0,0.6039451920292478,0.7131210878189914,0.7315222217497497,0.7193142417332703,0.549356299611417,2.5143268303431463,3.52942145869972,-0.5766307928407945,3.2926704222353935,282.12927756653994,318.2509505703422,201000.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-14
2025-04-04,2025,294870,IPARK현대산업개발,KOSPI,22650.0,9725162550.0,0.6278192821962375,0.6104990171964397,0.6873375105791952,0.6246586238586967,0.5209797073862109,2.444584468190145,3.4844928337946293,-0.6682437786344659,3.6732942850313206,-3.31125827814569,22.958057395143495,21900.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-13
2025-04-02,2025,007390,네이처셀,KOSDAQ,30350.0,83272994600.0,0.6081847970524871,0.7106328795199253,0.7250626995228026,0.7657270757932736,0.5165609913429815,2.582444427274188,3.637569469796144,-0.326288105605558,3.4990430138099633,-27.84184514003295,29.65403624382208,21900.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-13
2025-04-01,2025,007390,네이처셀,KOSDAQ,28700.0,38582902400.0,0.6227833295560327,0.6871924384935983,0.7162648116289844,0.748691274105289,0.4919250860156136,2.6315532860062523,3.728791078349503,-0.2459780702385057,3.7682078654822586,-22.47386759581882,37.10801393728222,22250.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-13
2025-03-27,2025,007390,네이처셀,KOSDAQ,29100.0,230251858500.0,0.6966522078144936,0.6984716477403866,0.7996055029656498,0.7704873785637799,0.530603420924602,2.8760627561705063,4.087999574745085,-0.3124368445298002,4.313504973521925,-24.05498281786942,35.22336769759451,22100.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-12
2025-03-26,2025,089970,브이엠,KOSDAQ,12120.0,10942105680.0,0.8733590961137878,0.860536681127883,0.7658719430741133,0.6679432668602471,0.5164836747967813,3.643786903513739,5.304289761508475,-0.4806598971892986,6.151172587153972,141.33663366336634,159.9009900990099,29250.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-12
2025-03-13,2025,010140,삼성중공업,KOSPI,14080.0,268027161600.0,0.6715176976381872,0.6927921480892317,0.7315422801269397,0.714880056804348,0.4654652244058311,2.854353146363686,4.078319391278846,-0.1660237282935202,4.387850854352717,80.75284090909092,130.82386363636363,25450.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-10
