Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%,week,하락,대박실패
2023-02-01,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+83% (대상승),347700,스피어,KOSDAQ,5544.0,3388880880.0,43.74,2.93,83.4,0.6622750047905844,0.770319242707269,0.7343881076604403,0.4714465870324255,-48.1,25.2,2879.0,2023-10-26,44.52554744525548,-1.9108280254777064,-27.49149882291394,-39.80456026058632,0.297375570838634,-5.198358413132698,2023,2023-02,66.2,77.0,73.4,47.1,2023-05,1,0
2023-02-02,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+64% (대상승),099320,쎄트렉아이,KOSDAQ,41950.0,32914137800.0,44.07,2.92,64.2,0.7386727823651301,0.7256709021066995,0.6638614422898406,0.5252401634707701,-37.4,16.3,26250.0,2023-10-27,64.50980392156862,12.768817204301076,10.394736842105257,-21.294559099437148,0.4435859506581601,-4.87528344671202,2023,2023-02,73.9,72.6,66.4,52.5,2023-05,1,0
2023-02-02,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+83% (대상승),347700,스피어,KOSDAQ,5661.0,1204100361.0,41.49,2.86,83.3,0.6382226576494017,0.7560375758408759,0.7405758376411387,0.4656293052994976,-48.3,22.6,2928.0,2023-10-27,44.37643458301454,2.110389610389607,-22.8956687551076,-38.53420195439739,0.3423577172383123,-3.1976744186046457,2023,2023-02,63.8,75.6,74.1,46.6,2023-05,1,0
2023-02-02,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+78% (대상승),003530,한화투자증권,KOSPI,3740.0,40350987160.0,49.74,2.21,78.3,0.4984119207646126,0.6760434185346423,0.7056711265227044,0.5043364952120194,-36.4,0.8,2380.0,2023-10-27,46.954813359528494,10.650887573964509,-21.675392670157063,-31.999999999999996,0.3495571534597697,-4.225352112676061,2023,2023-02,49.8,67.6,70.6,50.4,2023-05,1,1
2023-02-02,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+46% (상승),002790,아모레퍼시픽홀딩스,KOSPI,43350.0,35916081900.0,42.46,2.04,46.4,0.4527295203867234,0.698763521777691,0.6689471050075787,0.5173364703796951,-37.8,4.2,26950.0,2023-10-27,56.781193490054264,21.258741258741253,-3.2366071428571397,-16.63461538461538,0.5614426938700688,-0.3448275862068972,2023,2023-02,45.3,69.9,66.9,51.7,2023-05,1,1
2023-02-03,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+89% (대상승),347700,스피어,KOSDAQ,5652.0,859471380.0,40.68,2.75,88.5,0.606520203988723,0.747868147361868,0.7372334952480036,0.4626804692211165,-45.9,22.8,3058.0,2023-10-30,44.14690130068859,6.762372497166602,-26.68309767803866,-38.63192182410423,0.3874969369676237,-3.3515731874145027,2023,2023-02,60.7,74.8,73.7,46.3,2023-05,1,0
2023-02-03,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+67% (대상승),003530,한화투자증권,KOSPI,3340.0,30315663640.0,40.52,2.07,67.5,0.487526634715617,0.6535470928497787,0.6660304684341105,0.5189679017835035,-28.9,1.5,2375.0,2023-10-30,30.46875,1.5197568389057723,-33.13313313313313,-39.27272727272727,0.3750175888201034,-14.468629961587707,2023,2023-02,48.8,65.4,66.6,51.9,2023-05,1,1
2023-02-06,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+70% (대상승),006040,동원산업,KOSPI,42465.0,14057740995.0,40.58,2.14,70.4,0.5609051934253272,0.4979830991384946,0.6001381483375584,0.4447902847904806,-36.1,14.6,27143.0,2023-10-31,8.606138107416882,0.6470420932878307,5.181680826294799,-13.516761028064028,-0.0089658223077016,-13.516761028064028,2023,2023-02,56.1,49.8,60.0,44.5,2023-06,1,0
2023-02-08,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+50% (상승),099320,쎄트렉아이,KOSDAQ,42600.0,7142017800.0,43.76,2.51,49.7,0.5873040476918941,0.6956362254865036,0.6748899825326201,0.4870186239616813,-37.7,14.6,26550.0,2023-11-02,59.5505617977528,17.842323651452286,7.575757575757569,-20.075046904315197,0.5841620142148856,-3.401360544217691,2023,2023-02,58.7,69.6,67.5,48.7,2023-06,1,0
2023-02-08,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+94% (대상승),027360,아주IB투자,KOSDAQ,2725.0,2189551125.0,40.84,2.41,94.4,0.5386796461438204,0.7024773158931941,0.6423822585443553,0.4529777218093263,-21.1,5.3,2150.0,2023-11-02,2.251407129455907,-16.282642089093702,-29.404145077720212,-35.80683156654888,0.0008942881484752,-7.31292517006803,2023,2023-02,53.9,70.2,64.2,45.3,2023-06,1,1
