n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,final,ret_pct,profit,filter,sort,mode,combo,set
32,218,11,34.375,16,50.0,20,62.5,237.28518708368364,194.68264443302704,75.0,72298446.21856865,622.9844621856865,62298446.21856865,F03_slope_10,S01_거래대금낮,weekly_3,F03_slope_10__S01_거래대금낮,OOS_weekly_3
29,221,3,10.344827586206897,7,24.137931034482758,15,51.724137931034484,83.45596215054891,33.88573952463621,51.724137931034484,19826864.4621445,98.26864462144502,9826864.462144502,F03_slope_10,S02_거래대금높,weekly_3,F03_slope_10__S02_거래대금높,OOS_weekly_3
27,223,3,11.11111111111111,6,22.22222222222222,15,55.55555555555556,99.32181014251518,33.97364188902361,55.55555555555556,19172883.310036376,91.72883310036377,9172883.310036376,F03_slope_10,S03_점수낮,weekly_3,F03_slope_10__S03_점수낮,OOS_weekly_3
25,225,3,12.0,6,24.0,10,40.0,147.82563837346967,95.53320704752956,40.0,33883301.761882395,238.83301761882393,23883301.761882395,F03_slope_10,S04_점수높,weekly_3,F03_slope_10__S04_점수높,OOS_weekly_3
28,222,2,7.142857142857142,3,10.714285714285714,8,28.57142857142857,51.9133971097609,5.818076798132176,42.857142857142854,11629061.503477009,16.290615034770095,1629061.503477009,F03_slope_10,S05_변동성낮,weekly_3,F03_slope_10__S05_변동성낮,OOS_weekly_3
28,222,4,14.285714285714285,9,32.142857142857146,19,67.85714285714286,114.00400827753195,50.01923099051472,71.42857142857143,24005384.67734412,140.05384677344122,14005384.677344121,F03_slope_10,S06_변동성높,weekly_3,F03_slope_10__S06_변동성높,OOS_weekly_3
34,216,11,32.35294117647059,16,47.05882352941176,23,67.64705882352942,187.51932831664965,127.39335068506158,76.47058823529412,53313739.23292092,433.1373923292092,43313739.23292092,F03_slope_10,S07_slope강한,weekly_3,F03_slope_10__S07_slope강한,OOS_weekly_3
28,222,3,10.714285714285714,6,21.428571428571427,13,46.42857142857143,77.02722302961567,28.798614144350044,50.0,18063611.960418012,80.63611960418011,8063611.960418012,F03_slope_10,S08_외인매수강,weekly_3,F03_slope_10__S08_외인매수강,OOS_weekly_3
32,218,8,25.0,11,34.375,19,59.375,138.63973455751798,79.3176807848403,62.5,35381657.8511489,253.816578511489,25381657.851148903,F03_slope_10,S09_52주고점근접,weekly_3,F03_slope_10__S09_52주고점근접,OOS_weekly_3
27,223,5,18.51851851851852,8,29.629629629629626,15,55.55555555555556,142.6097593079208,83.16253458712957,59.25925925925925,32453884.338524986,224.53884338524986,22453884.338524986,F03_slope_10,S10_랜덤,weekly_3,F03_slope_10__S10_랜덤,OOS_weekly_3
31,136,3,9.67741935483871,10,32.25806451612903,21,67.74193548387096,96.68748019637539,56.7433858485431,70.96774193548387,27590449.613048356,175.90449613048355,17590449.613048356,F04_외인상위25,S01_거래대금낮,weekly_3,F04_외인상위25__S01_거래대금낮,OOS_weekly_3
29,138,4,13.793103448275861,9,31.03448275862069,18,62.06896551724138,99.59297163768419,63.010971121086115,65.51724137931035,28273181.625114974,182.73181625114972,18273181.625114974,F04_외인상위25,S02_거래대금높,weekly_3,F04_외인상위25__S02_거래대금높,OOS_weekly_3
29,138,3,10.344827586206897,9,31.03448275862069,17,58.620689655172406,92.37505866867667,52.17751944702848,68.96551724137932,25131480.639638256,151.31480639638255,15131480.639638256,F04_외인상위25,S03_점수낮,weekly_3,F04_외인상위25__S03_점수낮,OOS_weekly_3
31,136,3,9.67741935483871,9,29.03225806451613,21,67.74193548387096,94.3582358895349,54.34181728050973,70.96774193548387,26845963.356958017,168.45963356958018,16845963.356958017,F04_외인상위25,S04_점수높,weekly_3,F04_외인상위25__S04_점수높,OOS_weekly_3
31,136,4,12.903225806451612,9,29.03225806451613,21,67.74193548387096,108.94057592350495,72.03559201400789,70.96774193548387,32331033.524342444,223.31033524342442,22331033.524342444,F04_외인상위25,S05_변동성낮,weekly_3,F04_외인상위25__S05_변동성낮,OOS_weekly_3
29,138,0,0.0,7,24.137931034482758,16,55.172413793103445,68.76658621277228,28.532762594586963,68.96551724137932,18274501.15243022,82.7450115243022,8274501.152430221,F04_외인상위25,S06_변동성높,weekly_3,F04_외인상위25__S06_변동성높,OOS_weekly_3
29,138,5,17.24137931034483,10,34.48275862068966,18,62.06896551724138,106.20297032388063,68.4785611033066,65.51724137931035,29858782.71995892,198.5878271995892,19858782.71995892,F04_외인상위25,S07_slope강한,weekly_3,F04_외인상위25__S07_slope강한,OOS_weekly_3
