rule,feat,direction,cut,n,winner_rate,loser_rate,winner_lift,loser_lift,mean_ret,median_ret
s5 <= 74.8,s5,le,74.8,8442,0.15553186448708836,0.175787728026534,0.9120559689888951,0.9891927031509121,12.729962029502778,-5.467372134038801
s5 >= 75.6,s5,ge,75.6,4943,0.19057252680558365,0.18571717580416752,1.1175382689041062,1.0450676916852115,15.685676110552125,-3.1932773109243695
s5 <= 75.6,s5,le,75.6,9205,0.16045627376425856,0.17316675719717545,0.9409332469010377,0.9744439760999457,13.124065399667773,-5.038759689922481
s5 >= 76.4,s5,ge,76.4,4281,0.190142490072413,0.1957486568558748,1.1150164861770346,1.1015168418593788,14.97136515772051,-3.3914737145502345
s5 <= 76.4,s5,le,76.4,9865,0.16310187531677647,0.1696908261530664,0.9564473455424809,0.9548842169285353,13.739540026500435,-4.945054945054945
s5 >= 77.3,s5,ge,77.3,3569,0.18800784533482767,0.20397870551975344,1.1024986945270345,1.1478289717007566,14.490570016976747,-4.408352668213457
s5 <= 77.3,s5,le,77.3,10570,0.1651844843897824,0.16915799432355724,0.9686599943290783,0.9518858656575213,13.86332455955073,-4.628330995792426
s5 >= 78.3,s5,ge,78.3,2866,0.1884159106769016,0.2131891137473831,1.1048916345988546,1.1996577808792743,14.256889915806829,-5.117493472584857
s5 <= 78.3,s5,le,78.3,11258,0.1661929294723752,0.1685023982945461,0.9745736272686013,0.9481966956830699,13.928350954747465,-4.313725490196078
s5 >= 79.7,s5,ge,79.7,2143,0.19178721418572095,0.2323845076994867,1.1246613293725396,1.3076741017265516,14.59571444558287,-6.614785992217899
s5 <= 79.7,s5,le,79.7,11989,0.16623571607306697,0.16823755108849778,0.9748245326035458,0.9467063474851947,13.773038753738216,-4.310344827586207
s5 >= 80,s5,ge,80.0,1997,0.19529293940911366,0.23234852278417625,1.1452192878730352,1.3074716074111166,15.41390745144364,-6.11633875106929
s5 <= 80,s5,le,80.0,12106,0.1659507682141087,0.16867668924500248,0.9731535670012844,0.949177465719478,13.64415758388671,-4.467472654001152
s5 >= 81.5,s5,ge,81.5,1421,0.19493314567206194,0.25193525686136525,1.1431094178051553,1.4176900774102745,15.074196068068652,-6.935123042505594
s5 <= 81.5,s5,le,81.5,12662,0.16774601168851683,0.16956247038382563,0.9836810722943121,0.9541619333438636,13.85699095339627,-4.31960049937578
s5 >= 84.4,s5,ge,84.4,722,0.19390581717451524,0.23822714681440443,1.1370850504423011,1.3405518005540167,12.986489063178018,-6.4453125
s5 <= 84.4,s5,le,84.4,13367,0.1693723348544924,0.17490835640008978,0.9932180103097121,0.9842443031345852,13.997592699900272,-4.540162980209546
s5 >= 90,s5,ge,90.0,141,0.16312056737588654,0.2765957446808511,0.9565569578340859,1.5564595744680851,10.66665223433719,-0.45871559633027525
s5 <= 90,s5,le,90.0,13929,0.1705793667887142,0.17682532845143226,1.0002961784008468,0.9950314882618996,13.99479344533254,-4.628330995792426
s5 <= 95,s5,le,95.0,14055,0.17061543934542867,0.1775880469583778,1.0005077118430556,0.9993234578441835,13.989532516474867,-4.581128533747593
s6 >= 0,s6,ge,0.0,14068,0.17052885982371338,0.17770827409724196,1.0,1.0,13.969511083713718,-4.581128533747593
s6 <= 0,s6,le,0.0,3047,0.18181818181818182,0.2471283229405973,1.0662018265186253,1.3906404988513292,14.868645894980041,-7.123655913978495
s6 >= 6.9,s6,ge,6.9,10552,0.16432903714935557,0.15703184230477635,0.9636435575727946,0.8836495830174375,13.271910973867152,-4.156862745098039
s6 <= 6.9,s6,le,6.9,3528,0.18905895691609978,0.23979591836734693,1.1086625285100842,1.3493795918367346,16.090425855620726,-6.596747226022191
s6 >= 16,s6,ge,16.0,9849,0.16255457406843335,0.15605645243171895,0.9532379107939644,0.8781608691237689,13.01847225509946,-4.156862745098039
s6 <= 16,s6,le,16.0,4234,0.19036372224846482,0.22744449692961738,1.1163138160030859,1.2798756731223428,16.301996704318736,-6.2530044722602565
s6 >= 22.7,s6,ge,22.7,9153,0.1586365126188135,0.1504424778761062,0.9302619672869815,0.8465699115044248,12.805243238237772,-4.143426294820717
s6 <= 22.7,s6,le,22.7,4928,0.19379058441558442,0.2288961038961039,1.1364093128630437,1.288044155844156,16.495358113778916,-6.205095942120163
s6 >= 28.6,s6,ge,28.6,8442,0.15387348969438522,0.1505567401089789,0.9023310767072161,0.847212887941246,12.535557893418204,-4.173913043478262
s6 <= 28.6,s6,le,28.6,5650,0.19557522123893806,0.21876106194690265,1.14687461958707,1.2310122477876106,16.085820062584474,-5.737704918032787
s6 >= 34,s6,ge,34.0,7738,0.1521064874644611,0.14745412251227707,0.8919691811796744,0.8297538382010856,12.700811635939438,-4.1315345699831365
s6 <= 34,s6,le,34.0,6345,0.1933806146572104,0.21513002364066194,1.134005205084467,1.2105796690307329,15.50951071666215,-5.704697986577181
s6 >= 38.7,s6,ge,38.7,7036,0.15093803297328026,0.14553723706651506,0.8851172354598195,0.8189671404206935,12.303439540761458,-4.1315345699831365
s6 <= 38.7,s6,le,38.7,7058,0.1894304335505809,0.20969113063190706,1.1108409083741444,1.1799739302918675,15.590741083723245,-5.575507801000883
s6 >= 42.9,s6,ge,42.9,6353,0.14827640484810325,0.15032268219738706,0.8695091552326456,0.8458957972611365,11.777301161127491,-4.707112970711297
s6 <= 42.9,s6,le,42.9,7748,0.18895198760970572,0.1997934950955085,1.108035248725861,1.1242779556014455,15.851943857401963,-3.983817934679434
s6 >= 47.3,s6,ge,47.3,5657,0.14707442107123916,0.14990277532260915,0.8624605900917852,0.8435328972953863,11.76528097063148,-5.033809166040571
s6 <= 47.3,s6,le,47.3,8443,0.1860713016700225,0.1956650479687315,1.0911425893680187,1.101046357929646,15.452579553198547,-3.8461538461538463
s6 >= 50,s6,ge,50.0,5224,0.14950229709035223,0.152947932618683,0.8766979222455503,0.8606686064318531,12.36180387791078,-4.973946119234515
s6 <= 50,s6,le,50.0,8866,0.18283329573652154,0.19230769230769232,1.072154566244846,1.0821538461538462,14.909939578811148,-4.147861463485255
s6 >= 51.9,s6,ge,51.9,4925,0.15208121827411167,0.1514720812182741,0.8918209998666957,0.8523636954314721,12.56357874356907,-4.82897384305835
s6 <= 51.9,s6,le,51.9,9157,0.1808452549961778,0.19154745003822213,1.0604964765678322,1.0778758108550837,14.766643192617881,-4.205352266521026
s6 >= 55.4,s6,ge,55.4,4233,0.14717694306638318,0.14575950862272619,0.8630617903534301,0.8202179069218049,11.875589986596204,-4.873949579831933
s6 <= 55.4,s6,le,55.4,9856,0.18039772727272727,0.19105113636363635,1.0578721247489484,1.0750829545454545,14.844970736737736,-4.467472654001152
s6 >= 59.3,s6,ge,59.3,3518,0.14923251847640706,0.15008527572484365,0.8751159107653583,0.8445598635588402,11.762081532983338,-5.355301711528963
s6 <= 59.3,s6,le,59.3,10573,0.1772439232006053,0.1869857183391658,1.0393778706069678,1.0522060342381538,14.67500210483863,-4.143426294820717
s6 >= 63.6,s6,ge,63.6,2827,0.14609126282278034,0.14715245843650512,0.8566952419303352,0.8280563141139017,11.925462582282398,-6.0606060606060606
s6 <= 63.6,s6,le,63.6,11260,0.17708703374777976,0.18516873889875665,1.038457853590565,1.0419815275310835,14.511400027288925,-3.9748953974895396
s6 >= 68.4,s6,ge,68.4,2112,0.13731060606060605,0.14867424242424243,0.8052045044020867,0.8366196969696971,11.572300170779942,-6.711956521739131
s6 <= 68.4,s6,le,68.4,11967,0.1762346452745049,0.1829196958301997,1.0334593537814651,1.0293257123756998,14.377759222904954,-4.101326899879373
s6 >= 70,s6,ge,70.0,1875,0.13653333333333334,0.1504,0.8006464915937197,0.84633088,11.46150375751398,-6.719367588932807
s6 <= 70,s6,le,70.0,12204,0.17608980662078008,0.18198951163552934,1.0326100039771298,1.0240913798754507,14.363770782414308,-4.16538789428815
s6 >= 74.2,s6,ge,74.2,1414,0.13224893917963224,0.15346534653465346,0.7755223327966096,0.863580198019802,11.688433889642523,-5.808708660177439
s6 <= 74.2,s6,le,74.2,12671,0.17488753847368005,0.18033304395864572,1.025559771257912,1.0147701049640911,14.199419190371117,-4.408352668213457
s6 >= 80,s6,ge,80.0,865,0.13641618497109825,0.1606936416184971,0.7999595207058817,0.904255260115607,14.667922402255503,-4.7407407407407405
s6 <= 80,s6,le,80.0,13215,0.1726825576995838,0.1786606129398411,1.0126295213496228,1.0053590011350737,13.923884082726547,-4.576271186440678
s6 >= 82.2,s6,ge,82.2,707,0.14285714285714285,0.1768033946251768,0.8377300065503483,0.9949080622347949,14.384503125685503,-6.438356164383562
s6 <= 82.2,s6,le,82.2,13366,0.1720035912015562,0.17768966033218614,1.0086479870877418,0.9998952566212779,13.952231224172262,-4.408352668213457
s6 >= 90,s6,ge,90.0,355,0.15492957746478872,0.19436619718309858,0.9085240916109412,1.0937374647887323,19.63836305109386,-6.067415730337078
s6 <= 90,s6,le,90.0,13720,0.17084548104956268,0.1771865889212828,1.001856701711233,0.9970643731778426,13.824990903344595,-4.490500863557859
s6 >= 95,s6,ge,95.0,242,0.1487603305785124,0.19421487603305784,0.8723469489697844,1.0928859504132231,7.6440721505768705,-4.1315345699831365
s6 <= 95,s6,le,95.0,13833,0.17082339333477914,0.17740186510518327,1.001727176921081,0.9982757753198873,14.06913148729654,-4.581128533747593
s8 >= 20.735,s8,ge,20.735,13364,0.16813828195151154,0.17868901526489075,0.9859813882842287,1.0055188266985933,13.503391694112258,-4.707112970711297
s8 <= 20.735,s8,le,20.735,704,0.2159090909090909,0.1590909090909091,1.2661146689908676,0.8952363636363636,22.817834269273227,-1.1111111111111112
s8 >= 46.2,s8,ge,46.2,12663,0.16954907999684118,0.17784095396035696,0.9942544632745152,1.0007466161257206,13.520803876801448,-4.997397188964081
s8 <= 46.2,s8,le,46.2,1409,0.17885024840312277,0.17814052519517387,1.0487975383639563,1.0024323633782823,17.916290756814327,-1.1111111111111112
s8 >= 50,s8,ge,50.0,12515,0.16923691570115862,0.17826608070315622,0.9924238974922466,1.0031388893328006,13.341746072324383,-5.031446540880504
s8 <= 50,s8,le,50.0,1554,0.18082368082368083,0.1731016731016731,1.0603699632461618,0.9740777348777349,18.999444865625225,-0.7011324711449395
s8 >= 56.6,s8,ge,56.6,11960,0.17065217391304346,0.1802675585284281,1.0007231273900357,1.0144016053511706,12.947020291073722,-5.069279492682497
s8 <= 56.6,s8,le,56.6,2119,0.171307220386975,0.16234072675790467,1.0045643919983178,0.9135237376120812,19.806195359218474,-1.1111111111111112
s8 >= 64.1,s8,ge,64.1,11269,0.1709113497204721,0.17907533942674594,1.0022429628460199,1.0076927500221848,13.166290942119367,-5.091383812010443
s8 <= 64.1,s8,le,64.1,2817,0.16968406105786296,0.17252396166134185,0.9950460070704528,0.9708268370607028,17.297562248395195,-2.146464646464646
s8 >= 70,s8,ge,70.0,10686,0.1689125959198952,0.1784577952461164,0.9905220506048711,1.0042177054089463,12.717183913209057,-5.451127819548872
s8 <= 70,s8,le,70.0,3389,0.17645323104160518,0.17527294187075834,1.0347411647741984,0.9862958984951313,18.005823328315977,-1.9851116625310175
s8 >= 71.8,s8,ge,71.8,10552,0.16887793783169067,0.17901819560272933,0.9903188117616609,1.0073711902956786,12.55536632971449,-5.5848153214774285
s8 <= 71.8,s8,le,71.8,3523,0.17541867726369573,0.17343173431734318,1.0286744275721849,0.9759350553505536,18.19396570195586,-1.6842105263157894
s8 >= 79,s8,ge,79.0,9850,0.16700507614213198,0.18213197969543146,0.9793361447134276,1.024893076142132,12.309595074490131,-5.88235294117647
s8 <= 79,s8,le,79.0,4232,0.1781663516068053,0.16729678638941398,1.0447870922903448,0.9414124763705104,17.715625079297254,-1.9757018986812391
s8 >= 80,s8,ge,80.0,9708,0.165430572723527,0.1826328800988875,0.9701030833991571,1.0277117428924598,12.038814228516273,-5.947955390334572
s8 <= 80,s8,le,80.0,4360,0.18188073394495413,0.16674311926605503,1.0665686390736202,0.9382968807339449,18.268411329185454,-1.6279862189073562
s8 >= 85.545,s8,ge,85.545,9144,0.16426071741032372,0.18416447944007,0.963242923104808,1.036330358705162,11.944826659699201,-6.080347448425624
s8 <= 85.545,s8,le,85.545,4924,0.1821689683184403,0.16571892770105606,1.0682588771587405,0.9325335499593826,17.729404335782917,-1.9852565611925161
s8 >= 90,s8,ge,90.0,8669,0.16357134617602953,0.18525781520359902,0.9592003743244617,1.0424827777136925,11.885242718283324,-6.423357664233577
s8 <= 90,s8,le,90.0,5412,0.18144863266814487,0.16537324464153733,1.0640347496354574,0.9305883222468588,17.228393979689127,-1.9535673839184597
s8 >= 92.1,s8,ge,92.1,8442,0.16477138118929163,0.18384269130537786,0.9662375117011066,1.0345195925136224,12.057309411136533,-6.284916201117319
s8 <= 92.1,s8,le,92.1,5647,0.1793872852842217,0.16858508942801487,1.0519467817334018,0.9486620152293253,16.82849579213017,-2.2304832713754648
s8 >= 95,s8,ge,95.0,8146,0.1629020378099681,0.18328013749079303,0.9552754764112678,1.0313539896881905,12.095096046444906,-6.30744894695966
s8 <= 95,s8,le,95.0,5941,0.181787577848847,0.16950008416091566,1.066022361474606,0.9538108735903047,16.623110808309495,-2.2883295194508007
s8 >= 99.1,s8,ge,99.1,7743,0.16221102931680229,0.185070386155237,0.9512233265647247,1.0414280769727495,11.953771579341574,-6.517294257965582
s8 <= 99.1,s8,le,99.1,6340,0.18123028391167192,0.16845425867507888,1.062754328499125,0.9479258044164038,16.47111154749598,-2.1963227167688135
s8 >= 100,s8,ge,100.0,7671,0.16151740320688307,0.18576456785295267,0.9471558267254819,1.0453343762221352,11.78781543104963,-6.564585983025345
s8 <= 100,s8,le,100.0,14068,0.17052885982371338,0.17770827409724196,1.0,1.0,13.969511083713718,-4.581128533747593
s10 >= 16,s10,ge,16.0,13367,0.1707937457918755,0.17685344505124562,1.001553320466905,0.9951897059923693,14.100979313501814,-4.583333333333333
s10 <= 16,s10,le,16.0,710,0.16338028169014085,0.19154929577464788,0.9580799511533562,1.0778861971830986,11.265557467500146,-4.408352668213457
s10 >= 23.2,s10,ge,23.2,12666,0.17274593399652613,0.1770093162798042,1.0130011669291912,0.9960668245697143,14.331259979125642,-4.5782119290982015
s10 <= 23.2,s10,le,23.2,1414,0.15205091937765206,0.18528995756718528,0.8916433238035887,1.0426636492220651,10.704815435272332,-4.913294797687861
s10 >= 26.1,s10,ge,26.1,11968,0.17379679144385027,0.18039772727272727,1.0191635106428036,1.015134090909091,14.524443078106613,-4.663308144416456
s10 <= 26.1,s10,le,26.1,2141,0.1546006539000467,0.16207379729098553,0.9065952476306199,0.9120216721158338,11.234813633893253,-4.185623293903549
s10 >= 27.9,s10,ge,27.9,11287,0.1752458580668025,0.18437140072649952,1.0276609967835673,1.037494746168158,14.541694901249537,-4.6255506607929515
s10 <= 27.9,s10,le,27.9,2828,0.15099009900990099,0.15099009900990099,0.8854225564282148,0.8496514851485149,11.449386812431138,-4.584040747028863
s10 >= 29.3,s10,ge,29.3,10585,0.17779877184695322,0.1897024090694379,1.0426315641279442,1.0674933963155409,14.900779683597717,-4.444444444444445
s10 <= 29.3,s10,le,29.3,3525,0.14921985815602837,0.14042553191489363,0.875041669253442,0.7902025531914895,11.289914597496493,-4.584040747028863
s10 >= 30.7,s10,ge,30.7,9874,0.1785497265545878,0.19282965363581123,1.0470352451729643,1.085091026939437,14.995219338182856,-4.581128533747593
s10 <= 30.7,s10,le,30.7,4230,0.15130023640661938,0.14231678486997637,0.8872412362519057,0.8008450118203311,11.468345358327648,-4.597845616232878
s10 >= 32.1,s10,ge,32.1,9159,0.17960476034501582,0.199475925319358,1.053222079422127,1.1224909269570915,14.857549931866231,-5.043478260869565
s10 <= 32.1,s10,le,32.1,4966,0.15324204591220297,0.1365283930728957,0.8986282208807301,0.7682725734997986,12.18178571082593,-4.150921068202438
