Date,Code,Name,Market,Close,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,Month,YYYYMM
2020-07-17,232140,와이씨,KOSDAQ,4875.0,52.52,21129751500.0,persistent_uptrend,49.0066225165563,-2.28013029315961,,-9.999999999999998,4.835215972141348,-25.187032418952615,64.1025641025641,40.92307692307693,2021-04-12,6870.0,,,,,81.23,4.25,1566200000000.0,2020,7,2020-07
2020-07-17,232140,와이씨,KOSDAQ,4875.0,45.98,21129751500.0,persistent_uptrend,49.0066225165563,-2.28013029315961,,-9.999999999999998,4.835215972141348,-25.187032418952615,64.1025641025641,40.92307692307693,2021-04-12,6870.0,,,,,81.23,4.25,1566200000000.0,2020,7,2020-07
2020-07-20,005250,녹십자홀딩스,KOSPI,26650.0,51.55,46554325350.0,mixed,17.76155717761556,14.691943127962093,,-5.098039215686279,2.5184261854242957,-10.084033613445376,111.25703564727955,42.589118198874296,2021-04-13,38000.0,57161.0,-31142.0,61394.0,35929.0,,0.76,704000000000.0,2020,7,2020-07
2020-07-22,103140,풍산,KOSPI,24650.0,64.69,53219078850.0,mixed,9.443099273607757,5.116279069767438,,-7.566462167689158,2.4558481900453755,-13.636363636363635,61.05476673427992,41.98782961460446,2021-04-15,35000.0,187259.0,-136153.0,433947.0,30648.0,13.43,1.02,2466100000000.0,2020,7,2020-07
2020-07-22,103140,풍산,KOSPI,24650.0,67.17,53219078850.0,mixed,9.443099273607757,5.116279069767438,,-7.566462167689158,2.4558481900453755,-13.636363636363635,61.05476673427992,41.98782961460446,2021-04-15,35000.0,187259.0,-136153.0,433947.0,30648.0,13.43,1.02,2466100000000.0,2020,7,2020-07
2020-07-22,103140,풍산,KOSPI,24650.0,58.68,53219078850.0,mixed,9.443099273607757,5.116279069767438,,-7.566462167689158,2.4558481900453755,-13.636363636363635,61.05476673427992,41.98782961460446,2021-04-15,35000.0,187259.0,-136153.0,433947.0,30648.0,13.43,1.02,2466100000000.0,2020,7,2020-07
2020-07-23,095610,테스,KOSDAQ,26050.0,58.77,155378429150.0,mixed,24.12868632707774,-5.5102040816326525,,-16.425992779783392,1.55421767861488,-17.91666666666667,37.428023032629554,33.397312859884835,2021-04-16,34750.0,206893.0,157122.0,92824.0,-357037.0,38.58,5.58,2497400000000.0,2020,7,2020-07
2020-07-23,095610,테스,KOSDAQ,26050.0,57.12,155378429150.0,mixed,24.12868632707774,-5.5102040816326525,,-16.425992779783392,1.55421767861488,-17.91666666666667,37.428023032629554,33.397312859884835,2021-04-16,34750.0,206893.0,157122.0,92824.0,-357037.0,38.58,5.58,2497400000000.0,2020,7,2020-07
2020-07-24,001440,대한전선,KOSPI,8902.0,56.88,57273411638.0,new_high_240,28.348574502420654,38.26540467452193,,0.0,-1.5874703653046867,-20.261908188228517,65.90653785666143,15.513367782520792,2021-04-19,10283.0,,,,,121.24,6.36,10740400000000.0,2020,7,2020-07
2020-07-24,001440,대한전선,KOSPI,8902.0,53.26,57273411638.0,new_high_240,28.348574502420654,38.26540467452193,,0.0,-1.5874703653046867,-20.261908188228517,65.90653785666143,15.513367782520792,2021-04-19,10283.0,,,,,121.24,6.36,10740400000000.0,2020,7,2020-07
2020-07-27,026960,동서,KOSPI,20800.0,59.77,9914860800.0,new_high_240,11.304347826086957,18.153846153846164,,0.0,-0.2476023175324768,-11.267605633802813,113.94230769230771,60.817307692307686,2021-04-20,33450.0,68738.0,-56829.0,-74736.0,-181352.0,18.08,1.54,2607200000000.0,2020,7,2020-07
2020-07-27,010130,고려아연,KOSPI,430500.0,61.06,75162286500.0,sideways,2.3285899094437346,5.046480743691895,,-14.208242950108463,-0.3895534957277858,-14.885496183206104,8.478513356562134,-2.7874564459930307,2021-04-20,418500.0,83414.0,123544.0,118022.0,184664.0,37.13,2.67,29848300000000.0,2020,7,2020-07
2020-07-27,026960,동서,KOSPI,20800.0,65.65,9914860800.0,new_high_240,11.304347826086957,18.153846153846164,,0.0,-0.2476023175324768,-11.267605633802813,113.94230769230771,60.817307692307686,2021-04-20,33450.0,68738.0,-56829.0,-74736.0,-181352.0,18.08,1.54,2607200000000.0,2020,7,2020-07
2020-07-27,026960,동서,KOSPI,20800.0,60.04,9914860800.0,new_high_240,11.304347826086957,18.153846153846164,,0.0,-0.2476023175324768,-11.267605633802813,113.94230769230771,60.817307692307686,2021-04-20,33450.0,68738.0,-56829.0,-74736.0,-181352.0,18.08,1.54,2607200000000.0,2020,7,2020-07
2020-07-27,010130,고려아연,KOSPI,430500.0,54.9,75162286500.0,sideways,2.3285899094437346,5.046480743691895,,-14.208242950108463,-0.3895534957277858,-14.885496183206104,8.478513356562134,-2.7874564459930307,2021-04-20,418500.0,83414.0,123544.0,118022.0,184664.0,37.13,2.67,29848300000000.0,2020,7,2020-07
2020-07-28,001820,삼화콘덴서,KOSPI,59500.0,55.75,70987546000.0,mixed,12.962962962962955,-7.263513513513509,,-19.736842105263154,1.394820725399109,-13.582342954159587,37.47899159663866,15.46218487394957,2021-04-21,68700.0,50589.0,72995.0,46764.0,65113.0,77.51,3.82,1060300000000.0,2020,7,2020-07
2020-07-28,030000,제일기획,KOSPI,19800.0,64.41,47900377800.0,sideways,2.824858757062154,-14.150943396226412,,-24.00835073068893,0.29045336812450473,-14.130434782608692,16.414141414141415,10.858585858585856,2021-04-21,21950.0,645501.0,314418.0,627300.0,1161181.0,10.55,1.23,2189200000000.0,2020,7,2020-07
2020-07-28,030000,제일기획,KOSPI,19800.0,58.48,47900377800.0,sideways,2.824858757062154,-14.150943396226412,,-24.00835073068893,0.29045336812450473,-14.130434782608692,16.414141414141415,10.858585858585856,2021-04-21,21950.0,645501.0,314418.0,627300.0,1161181.0,10.55,1.23,2189200000000.0,2020,7,2020-07
2020-07-28,100790,미래에셋벤처투자,KOSDAQ,3632.0,55.28,12859194064.0,mixed,13.256784968684766,8.247422680412363,,-4.349103732001181,0.6787129854865679,-18.67704280155642,208.37004405286342,144.0803964757709,2021-04-21,8865.0,,,,,96.22,7.86,2975000000000.0,2020,7,2020-07
2020-07-28,030000,제일기획,KOSPI,19800.0,68.09,47900377800.0,sideways,2.824858757062154,-14.150943396226412,,-24.00835073068893,0.29045336812450473,-14.130434782608692,16.414141414141415,10.858585858585856,2021-04-21,21950.0,645501.0,314418.0,627300.0,1161181.0,10.55,1.23,2189200000000.0,2020,7,2020-07
2020-07-29,267260,HD현대일렉트릭,KOSPI,11600.0,53.34,39803706400.0,V_recovery,27.376425855513297,-6.511627906976747,,-20.86614173228346,1.4801583223988908,-20.25183630640084,89.22413793103448,71.12068965517241,2021-04-22,19850.0,-117174.0,96902.0,-7999.0,627065.0,57.72,20.81,42283300000000.0,2020,7,2020-07
2020-07-29,267260,HD현대일렉트릭,KOSPI,11600.0,59.58,39803706400.0,V_recovery,27.376425855513297,-6.511627906976747,,-20.86614173228346,1.4801583223988908,-20.25183630640084,89.22413793103448,71.12068965517241,2021-04-22,19850.0,-117174.0,96902.0,-7999.0,627065.0,57.72,20.81,42283300000000.0,2020,7,2020-07
2020-07-29,267260,HD현대일렉트릭,KOSPI,11600.0,61.61,39803706400.0,V_recovery,27.376425855513297,-6.511627906976747,,-20.86614173228346,1.4801583223988908,-20.25183630640084,89.22413793103448,71.12068965517241,2021-04-22,19850.0,-117174.0,96902.0,-7999.0,627065.0,57.72,20.81,42283300000000.0,2020,7,2020-07
2020-07-29,084370,유진테크,KOSDAQ,32300.0,56.28,25998689900.0,persistent_uptrend,77.55102040816327,58.18181818181818,,-4.245283018867929,10.329720845245104,-8.571428571428575,67.18266253869969,59.13312693498452,2021-04-22,51400.0,40373.0,-60698.0,116410.0,-198600.0,56.09,6.55,3178500000000.0,2020,7,2020-07
2020-07-29,178920,PI첨단소재,KOSPI,34200.0,56.1,48260098800.0,V_recovery,0.9374999999999911,-17.602040816326525,,-22.168674698795176,-2.16266634715943,-25.79710144927536,45.175438596491226,38.1578947368421,2021-04-22,47250.0,26664.0,160465.0,-39861.0,318040.0,22.97,2.27,807600000000.0,2020,7,2020-07
2020-07-30,127120,제이에스링크,KOSDAQ,8135.0,62.09,39658344645.0,persistent_uptrend,66.81243926141885,114.49547016557324,,-8.636061210911505,7.377136213257811,-22.375452508188243,300.5777504609712,-33.98893669330055,2021-04-23,5370.0,-121529.0,17235.0,29981.0,159947.0,,18.35,1364100000000.0,2020,7,2020-07
2020-07-30,060370,LS마린솔루션,KOSDAQ,4160.0,66.78,66613605760.0,sideways,5.113952195664262,-3.692386045327223,,-13.633249600365382,0.32758096943096565,-13.398357289527718,52.956730769230774,31.418269230769226,2021-04-23,5467.0,-240828.0,10785.0,-95150.0,10785.0,142.83,3.0,1925000000000.0,2020,7,2020-07
2020-07-30,060370,LS마린솔루션,KOSDAQ,4160.0,59.86,66613605760.0,sideways,5.113952195664262,-3.692386045327223,,-13.633249600365382,0.32758096943096565,-13.398357289527718,52.956730769230774,31.418269230769226,2021-04-23,5467.0,-240828.0,10785.0,-95150.0,10785.0,142.83,3.0,1925000000000.0,2020,7,2020-07
2020-07-30,127120,제이에스링크,KOSDAQ,8135.0,62.18,39658344645.0,persistent_uptrend,66.81243926141885,114.49547016557324,,-8.636061210911505,7.377136213257811,-22.375452508188243,300.5777504609712,-33.98893669330055,2021-04-23,5370.0,-121529.0,17235.0,29981.0,159947.0,,18.35,1364100000000.0,2020,7,2020-07
2020-07-30,060370,LS마린솔루션,KOSDAQ,4160.0,65.1,66613605760.0,sideways,5.113952195664262,-3.692386045327223,,-13.633249600365382,0.32758096943096565,-13.398357289527718,52.956730769230774,31.418269230769226,2021-04-23,5467.0,-240828.0,10785.0,-95150.0,10785.0,142.83,3.0,1925000000000.0,2020,7,2020-07
2020-07-30,127120,제이에스링크,KOSDAQ,8135.0,54.76,39658344645.0,persistent_uptrend,66.81243926141885,114.49547016557324,,-8.636061210911505,7.377136213257811,-22.375452508188243,300.5777504609712,-33.98893669330055,2021-04-23,5370.0,-121529.0,17235.0,29981.0,159947.0,,18.35,1364100000000.0,2020,7,2020-07
2020-07-30,060370,LS마린솔루션,KOSDAQ,4160.0,68.92,66613605760.0,sideways,5.113952195664262,-3.692386045327223,,-13.633249600365382,0.32758096943096565,-13.398357289527718,52.956730769230774,31.418269230769226,2021-04-23,5467.0,-240828.0,10785.0,-95150.0,10785.0,142.83,3.0,1925000000000.0,2020,7,2020-07
2020-08-03,038500,삼표시멘트,KOSDAQ,3990.0,53.1,24942212190.0,pullback_recovery,-11.843711843711846,6.962962962962971,,-11.843711843711846,-1.2734953855195685,-19.358974358974358,53.63408521303259,43.10776942355889,2021-04-27,5710.0,,,,,34.89,1.8,1423400000000.0,2020,8,2020-08
