Date,Year,Code,Name,Market,Close,sell_close,수익률%,peak%,손익만,결과,p_sw,p_100plus,p_50plus,p_10plus,p_loss
2026-02-19,2026,003530,한화투자증권,KOSPI,9560.0,6910.0,-27.7,7.7,-2.8,❌ 손절,0.8922051749797911,0.8468070266731524,0.8053600716411846,0.79635780135543,0.4989526452593557
2026-02-19,2026,036540,SFA반도체,KOSDAQ,7470.0,10250.0,37.2,46.7,3.7,✅ 10%+,0.868372696632681,0.8080030404896844,0.8133698417302705,0.8236470084755522,0.4591123946159409
2026-02-19,2026,088350,한화생명,KOSPI,5080.0,5600.0,10.2,48.8,1.0,✅ 10%+,0.8832511667518769,0.8460815822361145,0.78238597530692,0.7460138238664311,0.4823226882053799
2026-02-19,2026,047040,대우건설,KOSPI,7930.0,28550.0,260.0,408.8,26.0,🏆 슈퍼위너,0.8957852174215443,0.862710441197536,0.8286433470259952,0.8110862092241137,0.4693505530017371
2026-02-12,2026,005440,현대지에프홀딩스,KOSPI,13930.0,14400.0,3.4,42.1,0.3,✅ 10%+,0.8692194734887717,0.8450521959459197,0.7804379230587591,0.7519063836913354,0.4372759525033592
2026-02-12,2026,047040,대우건설,KOSPI,7700.0,28550.0,270.8,424.0,27.1,🏆 슈퍼위너,0.8957883649816768,0.8590132838349293,0.8299121240867571,0.8037557962003136,0.4631624346617297
2026-02-11,2026,047040,대우건설,KOSPI,7480.0,28550.0,281.7,439.4,28.2,🏆 슈퍼위너,0.8945192285903827,0.8514149592387801,0.8237950904873775,0.8074233661799166,0.4647759030084867
2026-02-10,2026,047040,대우건설,KOSPI,7060.0,28550.0,304.4,471.5,30.4,🏆 슈퍼위너,0.8930493783331422,0.8567417230722362,0.8283693606514054,0.8086972461428439,0.4748636484782625
2026-02-09,2026,047040,대우건설,KOSPI,5770.0,28550.0,394.8,599.3,39.5,🏆 슈퍼위너,0.8769679626099263,0.850350484111859,0.7971259768899505,0.7336205117647696,0.451810702221341
2026-02-06,2026,032820,우리기술,KOSDAQ,9490.0,16800.0,77.0,218.2,7.7,🏆 슈퍼위너,0.8746491969114832,0.81429008676122,0.8079558531439963,0.864248537647609,0.4369831547728705
2026-02-04,2026,047040,대우건설,KOSPI,5590.0,28550.0,410.7,621.8,41.1,🏆 슈퍼위너,0.8786476533627575,0.8510125818379748,0.7805525147107816,0.7212504383903513,0.4569501545399555
2026-02-04,2026,032820,우리기술,KOSDAQ,9480.0,16800.0,77.2,218.6,7.7,🏆 슈퍼위너,0.8620629253240876,0.8363841807606025,0.7974840930356961,0.8665844142279644,0.4403873143687589
2026-02-03,2026,027360,아주IB투자,KOSDAQ,5110.0,15780.0,208.8,290.4,20.9,🏆 슈퍼위너,0.8897448995276541,0.840168776348672,0.8182784415092833,0.80753491161657,0.4921605659136101
2026-02-03,2026,032820,우리기술,KOSDAQ,9170.0,16800.0,83.2,229.3,8.3,🏆 슈퍼위너,0.8589137038980061,0.8260613615361998,0.794244164142948,0.8596960203354843,0.4361149724615052
