rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
s1>=90 AND is_first_pullback AND chart=sideways,combo3,211,0.8672985781990521,1.224749945395355,119,0.6638655462184874,0.9195828896175784,36.88428843833548,False,hit_10,,,
s1>=90 AND cup_and_handle_detected AND chart=sideways,combo3,210,0.861904761904762,1.217133103424252,123,0.6585365853658537,0.9122012424641185,50.03185708580283,False,hit_10,,,
s1>=90 AND s3>=70 AND chart=sideways,combo3,212,0.8537735849056604,1.2056507156560985,122,0.6557377049180327,0.9083242487195836,46.880620882982846,False,hit_10,,,
KOSPI AND chart=sideways AND marcap<=200bn,combo3,112,0.9375,1.3238844184345282,55,0.6181818181818182,0.856302041747462,34.184167290353656,False,hit_10,,,
is_first_pullback AND chart=sideways AND pos252_top10,combo3,111,0.8738738738738738,1.2340352056518844,56,0.6071428571428571,0.8410109338591144,19.126895798660623,False,hit_10,,,
s1>=90 AND KOSPI AND chart=sideways,combo3,132,0.8636363636363636,1.2195783733457473,80,0.55,0.7618569636135508,25.21335627487656,False,hit_10,,,
is_first_pullback AND chart=sideways AND marcap<=200bn,combo3,137,0.8686131386861314,1.2266062932843513,42,0.5238095238095238,0.725578060584334,37.36586278687042,False,hit_10,,,
s3>=90 AND KOSPI AND chart=sideways,combo3,101,0.8514851485148515,1.2024191153570367,64,0.5,0.6925972396486825,15.64053334187121,False,hit_10,,,
s1>=90 AND chart=sideways AND marcap<=200bn,combo3,92,0.8586956521739131,1.21260138036322,25,0.4,0.554077791718946,39.791867269315105,False,hit_10,,,
chart=persistent_uptrend AND marcap<=200bn AND price_low<=5000won,combo3,81,0.8888888888888888,1.255238559700886,24,,,,False,hit_10,,,
chart=mixed AND past_120>=50 AND marcap200~500bn,combo3,93,0.8602150537634409,1.2147469932589219,24,,,,False,hit_10,,,
s8>=90 AND chart=mixed AND past_120>=50,combo3,105,0.8571428571428571,1.21040861114014,21,,,,False,hit_10,,,
