Date,Code,Name,Market,Close,sell_close,sell_date,return_pct,peak_180d,ret_180d,Score,Amount,chart_pattern
2023-04-21,126340,비나텍,KOSDAQ,72825.0,41276.0,2024-01-17,-43.321661517336075,8.38311019567457,-43.321661517336075,60.96,79033185600.0,persistent_uptrend
2023-04-24,307950,현대오토에버,KOSPI,124000.0,174700.0,2024-01-18,40.88709677419355,112.0967741935484,40.88709677419355,58.46,18442024000.0,sideways
2023-04-25,368770,파이버프로,KOSDAQ,4135.0,3630.0,2024-01-19,-12.212817412333731,30.35066505441355,-12.212817412333731,59.84,88611768150.0,mixed
2023-04-26,009450,경동나비엔,KOSPI,40050.0,49500.0,2024-01-22,23.59550561797752,52.059925093632955,23.59550561797752,68.5,39497189850.0,sideways
2023-04-27,267270,HD건설기계,KOSPI,67900.0,46250.0,2024-01-23,-31.885125184094253,36.96612665684831,-31.885125184094253,68.95,61929756700.0,sideways
2023-04-28,100840,SNT에너지,KOSPI,8239.0,7313.0,2024-01-24,-11.239228061657968,44.03447020269451,-11.239228061657968,49.59,6947915744.0,sideways
2023-05-02,009450,경동나비엔,KOSPI,42950.0,47750.0,2024-01-25,11.175785797438875,41.79278230500583,11.175785797438875,51.03,7943903150.0,sideways
2023-05-04,307950,현대오토에버,KOSPI,125000.0,156100.0,2024-01-29,24.879999999999992,110.4,24.879999999999992,57.01,10392125000.0,mixed
2023-05-08,023160,태광,KOSDAQ,18850.0,12680.0,2024-01-30,-32.73209549071618,20.15915119363396,-32.73209549071618,50.51,10506273700.0,box_breakout
2023-05-09,001060,JW중외제약,KOSPI,25501.0,30650.0,2024-01-31,20.191365044508068,101.92149327477354,20.191365044508068,53.74,28883274133.0,mixed
2023-05-15,111770,영원무역,KOSPI,47500.0,51500.0,2024-02-06,8.421052631578952,42.94736842105262,8.421052631578952,53.26,10599577500.0,sideways
2023-05-16,005180,빙그레,KOSPI,48850.0,54700.0,2024-02-07,11.975435005117706,24.66734902763561,11.975435005117706,56.69,8630182950.0,new_high_120
2023-05-17,009420,한올바이오파마,KOSPI,22600.0,32500.0,2024-02-08,43.805309734513266,106.85840707964603,43.805309734513266,50.66,11331640000.0,persistent_uptrend
2023-05-18,078350,한양디지텍,KOSDAQ,13650.0,15100.0,2024-02-13,10.62271062271063,34.432234432234445,10.62271062271063,51.14,7893808650.0,pullback_recovery
2023-05-19,140860,파크시스템스,KOSDAQ,159300.0,179000.0,2024-02-14,12.366603892027616,34.33772755806655,12.366603892027616,51.75,19053076500.0,mixed
2023-05-22,005180,빙그레,KOSPI,50200.0,54000.0,2024-02-15,7.569721115537842,21.314741035856578,7.569721115537842,53.46,6344527000.0,new_high_120
2023-05-23,009420,한올바이오파마,KOSPI,23300.0,34800.0,2024-02-16,49.35622317596567,100.64377682403433,49.35622317596567,57.56,45919290500.0,persistent_uptrend
2023-05-24,082740,한화엔진,KOSPI,9000.0,8060.0,2024-02-19,-10.444444444444445,41.66666666666667,-10.444444444444445,54.08,27649872000.0,box_breakout
2023-05-26,005290,동진쎄미켐,KOSDAQ,38700.0,38200.0,2024-02-21,-1.2919896640826822,16.020671834625322,-1.2919896640826822,50.54,155622413700.0,V_recovery
2023-05-30,066575,LG전자우,KOSPI,54000.0,46000.0,2024-02-22,-14.814814814814813,3.8888888888888973,-14.814814814814813,64.78,18490032000.0,mixed
2023-05-31,183300,코미코,KOSDAQ,52100.0,58500.0,2024-02-23,12.284069097888683,32.24568138195778,12.284069097888683,63.15,22957083500.0,sideways
2023-06-01,009420,한올바이오파마,KOSPI,23950.0,37150.0,2024-02-26,55.11482254697286,95.1983298538622,55.11482254697286,57.54,23829555450.0,persistent_uptrend
2023-06-02,122640,예스티,KOSDAQ,11500.0,22300.0,2024-02-27,93.91304347826086,131.30434782608694,93.91304347826086,66.71,6884141500.0,new_high_240
2023-06-05,066575,LG전자우,KOSPI,55000.0,44450.0,2024-02-28,-19.181818181818176,2.0000000000000018,-19.181818181818176,50.46,7543910000.0,mixed
2023-06-07,090460,비에이치,KOSPI,27000.0,17070.0,2024-02-29,-36.77777777777778,8.703703703703702,-36.77777777777778,54.02,60765822000.0,mixed
2023-06-08,001120,LX인터내셔널,KOSPI,33400.0,27200.0,2024-03-04,-18.562874251497007,45.059880239520965,-18.562874251497007,63.91,55022792600.0,mixed
2023-06-09,174900,앱클론,KOSDAQ,23700.0,21100.0,2024-03-05,-10.970464135021096,-1.6877637130801704,-10.970464135021096,49.68,78727134000.0,mixed
2023-06-12,001740,SK네트웍스,KOSPI,5310.0,6410.0,2024-03-06,20.715630885122405,60.828625235404886,20.715630885122405,68.77,60291816210.0,new_high_240
2023-06-13,077360,덕산하이메탈,KOSDAQ,7000.0,6830.0,2024-03-07,-2.4285714285714244,52.0,-2.4285714285714244,61.64,15474837000.0,sideways
2023-06-15,077360,덕산하이메탈,KOSDAQ,7680.0,6640.0,2024-03-11,-13.541666666666663,38.54166666666667,-13.541666666666663,59.79,49684331520.0,mixed
2023-06-16,089030,테크윙,KOSDAQ,8000.0,26850.0,2024-03-12,235.62500000000003,250.0,235.62500000000003,58.69,16617984000.0,sideways
2023-06-19,087010,펩트론,KOSDAQ,8751.0,24858.0,2024-03-13,184.05896468974973,422.1460404525197,184.05896468974973,76.36,10902205824.0,mixed
2023-06-20,281820,케이씨텍,KOSPI,21400.0,40750.0,2024-03-14,90.42056074766356,152.803738317757,90.42056074766356,67.41,6143447800.0,sideways
2023-06-21,089970,브이엠,KOSDAQ,17990.0,16090.0,2024-03-15,-10.561423012784877,16.731517509727635,-10.561423012784877,62.87,34359226930.0,new_high_120
2023-06-22,357780,솔브레인,KOSDAQ,250500.0,295000.0,2024-03-18,17.764471057884236,25.349301397205593,17.764471057884236,57.0,26514673500.0,mixed
2023-06-23,102710,이엔에프테크놀로지,KOSDAQ,25100.0,22350.0,2024-03-19,-10.956175298804782,17.33067729083666,-10.956175298804782,55.53,8987582100.0,mixed
2023-06-26,252990,샘씨엔에스,KOSDAQ,6200.0,7070.0,2024-03-20,14.032258064516135,42.58064516129032,14.032258064516135,62.31,39690521400.0,mixed
