Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num
2024-02-19,036460,한국가스공사,KOSPI,30600.0,2024-11-14,40800.0,33.3,110.8,익절,100%+,35.1,0,75.26,111394159200.0,mixed,15.042372881355925,12.422360248447205,-11.56351791530945,-16.46153846153846,1.173629083449333,-11.583011583011583,867076.0,1201227.0,26.13,0.3
2024-02-19,051600,한전KPS,KOSPI,38950.0,2024-11-14,45100.0,15.8,21.8,익절,일반,40.1,0,58.5,35406913250.0,new_high_120,6.3515509601181686,9.589041095890405,8.108108108108114,-6.856403622250973,-0.3966953192696261,-8.425414364640883,454305.0,386998.0,19.78,1.83
2024-02-19,003160,디아이,KOSPI,7160.0,2024-11-14,13420.0,87.4,330.2,익절,슈퍼위너,42.4,0,68.18,19847949600.0,mixed,4.697986577181212,-15.67567567567567,18.85714285714286,-29.8876404494382,0.6559919700328055,-12.518628912071538,169426.0,67443.0,85.47,4.51
2024-02-19,036460,한국가스공사,KOSPI,30600.0,2024-11-14,40800.0,33.3,110.8,익절,100%+,35.2,0,59.29,111394159200.0,mixed,15.042372881355925,12.422360248447205,-11.56351791530945,-16.46153846153846,1.173629083449333,-11.583011583011583,867076.0,1201227.0,26.13,0.3
2024-02-19,036460,한국가스공사,KOSPI,30600.0,2024-11-14,40800.0,33.3,110.8,익절,100%+,35.0,0,68.77,111394159200.0,mixed,15.042372881355925,12.422360248447205,-11.56351791530945,-16.46153846153846,1.173629083449333,-11.583011583011583,867076.0,1201227.0,26.13,0.3
2024-02-19,003160,디아이,KOSPI,7160.0,2024-11-14,13420.0,87.4,330.2,익절,슈퍼위너,42.7,0,80.51,19847949600.0,mixed,4.697986577181212,-15.67567567567567,18.85714285714286,-29.8876404494382,0.6559919700328055,-12.518628912071538,169426.0,67443.0,85.47,4.51
2024-02-19,051600,한전KPS,KOSPI,38950.0,2024-11-14,45100.0,15.8,21.8,익절,일반,40.0,0,66.44,35406913250.0,new_high_120,6.3515509601181686,9.589041095890405,8.108108108108114,-6.856403622250973,-0.3966953192696261,-8.425414364640883,454305.0,386998.0,19.78,1.83
2024-02-19,003160,디아이,KOSPI,7160.0,2024-11-14,13420.0,87.4,330.2,익절,슈퍼위너,42.7,0,74.19,19847949600.0,mixed,4.697986577181212,-15.67567567567567,18.85714285714286,-29.8876404494382,0.6559919700328055,-12.518628912071538,169426.0,67443.0,85.47,4.51
2024-02-19,036460,한국가스공사,KOSPI,30600.0,2024-11-14,40800.0,33.3,110.8,익절,100%+,35.0,0,70.5,111394159200.0,mixed,15.042372881355925,12.422360248447205,-11.56351791530945,-16.46153846153846,1.173629083449333,-11.583011583011583,867076.0,1201227.0,26.13,0.3
2024-02-19,051600,한전KPS,KOSPI,38950.0,2024-11-14,45100.0,15.8,21.8,익절,일반,40.0,0,67.3,35406913250.0,new_high_120,6.3515509601181686,9.589041095890405,8.108108108108114,-6.856403622250973,-0.3966953192696261,-8.425414364640883,454305.0,386998.0,19.78,1.83
2024-02-16,005385,현대차우,KOSPI,157200.0,2024-11-13,150000.0,-4.6,23.4,중립,일반,40.1,0,50.07,43092292800.0,persistent_uptrend,38.14814814814815,45.56097560975609,62.35038084874864,-4.113110539845755,3.7889750573062573,-5.903083700440526,,,8.25,0.59
2024-02-16,016360,삼성증권,KOSPI,41200.0,2024-11-13,44400.0,7.8,18.7,익절,일반,43.2,0,49.66,31570076800.0,mixed,-2.0539152759948665,4.951856946354893,16.845329249617148,-6.380368098159506,-0.8491569749065082,-13.496932515337424,753784.0,428678.0,11.52,1.44
2024-02-14,003570,SNT다이내믹스,KOSPI,16960.0,2024-11-11,26350.0,55.4,66.3,익절,50%+,40.3,0,50.48,5251562240.0,sideways,14.909090909090917,65.09926854754443,64.58333333333333,-3.1269160024524845,0.13332206588087783,-14.653586756591054,71159.0,412019.0,24.77,1.28
2024-02-14,281820,케이씨텍,KOSPI,35300.0,2024-11-11,32050.0,-9.2,67.1,중립,50%+,33.2,0,54.87,13664277000.0,new_high_240,61.55717761557178,60.38647342995169,80.92643051771118,0.0,4.4469535412429835,-15.076923076923077,-123225.0,459924.0,18.93,2.52
2024-02-13,178320,서진시스템,KOSDAQ,21450.0,2024-11-08,29450.0,37.3,69.0,익절,50%+,41.8,0,69.45,60377159700.0,mixed,7.748455923638398,23.806451612903224,15.951661631419945,-8.619047619047615,1.1988379179602109,-11.962224554039869,,,,5.89
2024-02-13,178320,서진시스템,KOSDAQ,21450.0,2024-11-08,29450.0,37.3,69.0,익절,50%+,41.8,0,64.93,60377159700.0,mixed,7.748455923638398,23.806451612903224,15.951661631419945,-8.619047619047615,1.1988379179602109,-11.962224554039869,,,,5.89
2024-02-13,033160,엠케이전자,KOSDAQ,13350.0,2024-11-08,7710.0,-42.2,12.4,손절,일반,51.6,0,54.63,7221442200.0,mixed,10.315430520034097,-7.240143369175622,-12.567567567567572,-25.07237984944991,0.8132227249439836,-11.888111888111885,,,570.0,1.94
2024-02-13,131290,티에스이,KOSDAQ,57000.0,2024-11-08,47350.0,-16.9,54.0,중립,50%+,49.8,0,55.95,72532386000.0,mixed,22.26415094339622,9.706546275395045,20.148331273176765,-15.625,-1.115996917433309,-18.190661478599225,28538.0,127729.0,70.6,6.9
2024-02-13,281820,케이씨텍,KOSPI,33200.0,2024-11-08,35300.0,6.3,77.7,익절,50%+,33.3,0,53.68,11203008000.0,persistent_uptrend,52.926829268292686,49.6420047732697,71.49890590809629,-3.5384615384615348,4.65066874566781,-15.076923076923077,-120561.0,416030.0,18.93,2.52
2024-02-13,259960,크래프톤,KOSPI,230000.0,2024-11-08,325000.0,41.3,54.3,익절,50%+,35.2,0,52.65,65762060000.0,sideways,10.366168127900988,31.207847946045362,22.56586483390608,-4.0358744394618835,0.007005859192313959,-18.11926605504587,155934.0,172658.0,14.66,1.62
