rule,type,feat,direction,cut,train_n,train_winner_rate,train_loser_rate,train_winner_lift,train_loser_lift,train_mean_ret,train_median_ret,test_n,test_winner_rate,test_loser_rate,test_winner_lift,test_loser_lift,test_mean_ret,test_median_ret
s12>=80 AND new_high_252 AND past_120>=50,combo3,,,,164,0.18902439024390244,0.2865853658536585,1.2244720903584876,1.643566221758474,9.689832563706624,-8.069326884320839,46,0.2391304347826087,0.41304347826086957,1.1617161716171618,2.2325581395348837,17.214659713346517,-2.9343065693430654
s12>=80 AND new_high_252 AND rs>=1.1,combo3,,,,223,0.242152466367713,0.2600896860986547,1.568627923074608,1.4916135770791532,25.281405675992115,-5.864432597105865,76,0.2894736842105263,0.32894736842105265,1.4062879972207747,1.7780068285769504,23.047041792482567,-9.196518876875157
s12>=80 AND near_52w_low AND chart=pullback_recovery,combo3,,,,122,0.08196721311475409,0.2786885245901639,0.5309715040158434,1.5982778605729424,-7.473791043835869,-13.367557501635714,41,0.14634146341463414,0.21951219512195122,0.710939386621589,1.1864943129235455,15.256366231381122,11.294117647058824
s12>=80 AND near_52w_low AND chart=sideways,combo3,,,,114,0.008771929824561403,0.2894736842105263,0.056823266219239374,1.6601307189542485,-14.949058002277539,-21.53846153846154,79,0.31645569620253167,0.27848101265822783,1.5373689267660944,1.5052290720914738,17.899253566352243,-16.6883963494133
s12>=80 AND near_52w_low AND slope60<=-1,combo3,,,,118,0.025423728813559324,0.3050847457627119,0.16469116141508364,1.7496601105773588,-14.43064854974056,-18.327605956471935,46,0.1956521739130435,0.06521739130434782,0.9504950495049505,0.35250917992656056,23.47451073543281,1.8816538747214655
s12>=80 AND near_52w_low AND pos252_far,combo3,,,,124,0.008064516129032258,0.31451612903225806,0.052240744749945875,1.8037490656086481,-16.561149866205245,-21.50477633875264,119,0.17647058823529413,0.226890756302521,0.8573092603377985,1.2263764747024881,10.48464005449926,-6.679389312977099
s12>=80 AND KOSDAQ AND chart=new_high_240,combo3,,,,129,0.26356589147286824,0.12403100775193798,1.7073409291920298,0.7113174609754637,37.08738434572664,-2.4312220089571337,35,0.42857142857142855,0.2857142857142857,2.082036775106082,1.5443259311068367,47.49492451165802,42.31974921630094
s12>=80 AND KOSDAQ AND chart=box_breakout,combo3,,,,120,0.25833333333333336,0.23333333333333334,1.6734451901565999,1.338165973460091,28.435055859720297,3.353302780611965,47,0.2978723404255319,0.19148936170212766,1.4470893897900428,1.0350269538269226,61.77228843858824,10.7113654946852
s12>=80 AND KOSDAQ AND chart=V_recovery,combo3,,,,145,0.15172413793103448,0.30344827586206896,0.9828465632955334,1.740274960558936,1.0352178755489259,-6.030150753768844,83,0.3373493975903614,0.10843373493975904,1.6388723209670362,0.5860996003598237,46.98691463393499,21.235521235521233
s12>=80 AND KOSDAQ AND past_60>=30,combo3,,,,215,0.2372093023255814,0.2,1.5366068362728267,1.1469994058229354,32.729428129520805,2.441745979652117,90,0.3,0.25555555555555554,1.4574257425742574,1.3813137494900039,62.864244638072776,4.559292749809925
s12>=80 AND KOSDAQ AND past_120>=50,combo3,,,,160,0.18125,0.2625,1.1741107382550335,1.5054367201426024,10.713821013269655,-2.4470790276265975,66,0.3787878787878788,0.22727272727272727,1.84018401840184,1.2284410815622566,68.36674264510488,10.195360195360195
s12>=80 AND KOSDAQ AND slope60<=-1,combo3,,,,107,0.08411214953271028,0.2803738317757009,0.544866085429342,1.6079430922751425,1.1607260000546147,-6.433915211970074,57,0.3508771929824561,0.24561403508771928,1.704591511782757,1.3275784320041228,36.19173709904087,16.870748299319725
s12>=80 AND KOSDAQ AND pos252_far,combo3,,,,91,0.06593406593406594,0.26373626373626374,0.4271111438896674,1.5125266889972773,-3.8276278950966716,-6.433915211970074,103,0.30097087378640774,0.2815533980582524,1.462142330737928,1.5218357476441158,39.932881642400666,16.115960099750623
s12>=80 AND KOSPI AND chart=V_recovery,combo3,,,,138,0.18840579710144928,0.32608695652173914,1.2204649353175763,1.8701077268852204,0.40185874965150564,-21.12657522191558,60,0.23333333333333334,0.1,1.1335533553355335,0.540514075887393,25.221617720319678,-4.525524010113623
