Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,외인소진율_num,loser_prob,RF_위험,모드,결과,결과(peak),수익률(180일),고점도달(peak),RF손절확률
2021-06-22,102940,코오롱생명과학,KOSDAQ,28050.0,2022-03-17,33500.0,19.429590017825316,65.59714795008912,59.87,16197023700.0,mixed,25.183374083129586,-12.328767123287676,-21.23076923076923,-29.76680384087792,3.0797869827970543,-9.689922480620151,12168.0,-8567.0,27.19,1.2,4.15,0.4644124110555059,0,주3건(전체),익절,50%+,19.4,65.6,46.4
2021-06-18,060250,NHN KCP,KOSDAQ,36194.0,2022-03-15,23500.0,-35.07211139967951,12.667845499254016,60.9,31604456024.0,sideways,7.2686375321336705,-13.759429575281601,18.07859644158325,-22.001028085424558,-0.2430542651687699,-15.73887071540322,,,16.62,2.4,10.09,0.6290089114663447,1,주3건(전체),손절,일반,-35.1,12.7,62.9
2021-06-18,060250,NHN KCP,KOSDAQ,36194.0,2022-03-15,23500.0,-35.07211139967951,12.667845499254016,60.78,31604456024.0,sideways,7.2686375321336705,-13.759429575281601,18.07859644158325,-22.001028085424558,-0.2430542651687699,-15.73887071540322,,,16.62,2.4,10.09,0.6290089114663447,1,주3건(전체),손절,일반,-35.1,12.7,62.9
2021-06-18,060250,NHN KCP,KOSDAQ,36194.0,2022-03-15,23500.0,-35.07211139967951,12.667845499254016,56.28,31604456024.0,sideways,7.2686375321336705,-13.759429575281601,18.07859644158325,-22.001028085424558,-0.2430542651687699,-15.73887071540322,,,16.62,2.4,10.09,0.6290089114663447,1,주3건(전체),손절,일반,-35.1,12.7,62.9
2021-06-10,033160,엠케이전자,KOSDAQ,13800.0,2022-03-04,15700.0,13.768115942028981,101.08695652173911,67.74,36654318000.0,mixed,15.068493150684926,28.440366972477072,54.98154981549816,-3.076923076923077,0.8874255093303007,-10.483870967741938,,,570.0,1.94,13.55,0.4220210257204626,0,주3건(전체),익절,100%+,13.8,101.1,42.2
2021-06-10,033160,엠케이전자,KOSDAQ,13800.0,2022-03-04,15700.0,13.768115942028981,101.08695652173911,62.2,36654318000.0,mixed,15.068493150684926,28.440366972477072,54.98154981549816,-3.076923076923077,0.8874255093303007,-10.483870967741938,,,570.0,1.94,13.55,0.42230108590116755,0,주3건(전체),익절,100%+,13.8,101.1,42.2
2021-06-10,033160,엠케이전자,KOSDAQ,13800.0,2022-03-04,15700.0,13.768115942028981,101.08695652173911,55.84,36654318000.0,mixed,15.068493150684926,28.440366972477072,54.98154981549816,-3.076923076923077,0.8874255093303007,-10.483870967741938,,,570.0,1.94,13.55,0.4229074237762813,0,주3건(전체),익절,100%+,13.8,101.1,42.3
2021-06-04,032820,우리기술,KOSDAQ,1790.0,2022-02-25,1870.0,4.469273743016755,85.47486033519553,72.05,218733904480.0,mixed,23.140495867768585,4.195804195804187,94.01041666666667,-8.868501529051986,1.1295257378578392,-17.704918032786885,,,3360.0,22.25,6.93,0.4584882272674405,0,주3건(전체),익절,50%+,4.5,85.5,45.8
2021-06-03,368770,파이버프로,KOSDAQ,2433.0,2022-02-24,2845.0,16.9338265515824,58.85737772297575,51.16,9002834766.0,mixed,9.299065420560737,,,-27.697063369397224,2.1758190426862636,-27.697063369397224,,,52.97,14.05,1.69,0.40982355319432556,0,주3건(전체),익절,50%+,16.9,58.9,41.0
2021-05-31,032820,우리기술,KOSDAQ,1475.0,2022-02-21,1945.0,31.864406779661024,125.08474576271186,50.86,9705893825.0,mixed,18.907563025210084,-5.666666666666664,71.93195625759417,-13.455657492354744,1.2097271704364128,-17.704918032786885,,,3360.0,22.25,6.93,0.45616158761911424,0,주3건(전체),익절,100%+,31.9,125.1,45.6
2021-05-27,323280,태성,KOSDAQ,3005.0,2022-02-17,2538.0,-15.540765391014977,111.14808652246255,73.26,30240264580.0,new_high_240,4.731610337972159,8.39506172839506,9.203980099502495,0.0,0.48466562858145107,-2.9748283752860427,3238.0,-374769.0,,16.24,4.0,0.36601896344237855,0,주3건(전체),중립,100%+,-15.5,111.1,36.6
2021-05-27,323280,태성,KOSDAQ,3005.0,2022-02-17,2538.0,-15.540765391014977,111.14808652246255,61.3,30240264580.0,new_high_240,4.731610337972159,8.39506172839506,9.203980099502495,0.0,0.48466562858145107,-2.9748283752860427,3238.0,-374769.0,,16.24,4.0,0.36601896344237855,0,주3건(전체),중립,100%+,-15.5,111.1,36.6
2021-05-27,323280,태성,KOSDAQ,3005.0,2022-02-17,2538.0,-15.540765391014977,111.14808652246255,79.21,30240264580.0,new_high_240,4.731610337972159,8.39506172839506,9.203980099502495,0.0,0.48466562858145107,-2.9748283752860427,3238.0,-374769.0,,16.24,4.0,0.36601896344237855,0,주3건(전체),중립,100%+,-15.5,111.1,36.6
2021-05-17,041510,에스엠,KOSDAQ,35950.0,2022-02-08,66200.0,84.14464534075104,136.4394993045897,64.25,80896523450.0,new_high_120,8.252427184466015,9.313725490196067,21.857923497267763,-14.885496183206104,0.12742147139460835,-10.213414634146345,116818.0,343112.0,5.83,2.01,30.93,0.346452924575745,0,주3건(전체),익절,100%+,84.1,136.4,34.6
2021-05-17,041510,에스엠,KOSDAQ,35950.0,2022-02-08,66200.0,84.14464534075104,136.4394993045897,56.21,80896523450.0,new_high_120,8.252427184466015,9.313725490196067,21.857923497267763,-14.885496183206104,0.12742147139460835,-10.213414634146345,116818.0,343112.0,5.83,2.01,30.93,0.34335917709168745,0,주3건(전체),익절,100%+,84.1,136.4,34.3
2021-05-17,041510,에스엠,KOSDAQ,35950.0,2022-02-08,66200.0,84.14464534075104,136.4394993045897,62.19,80896523450.0,new_high_120,8.252427184466015,9.313725490196067,21.857923497267763,-14.885496183206104,0.12742147139460835,-10.213414634146345,116818.0,343112.0,5.83,2.01,30.93,0.346452924575745,0,주3건(전체),익절,100%+,84.1,136.4,34.6
2021-05-14,078350,한양디지텍,KOSDAQ,6650.0,2022-02-07,18450.0,177.44360902255642,195.4887218045113,53.7,7929273800.0,mixed,10.701107011070121,12.149532710280365,7.913669064748197,-6.25,2.842103269911765,-11.675579322638141,96835.0,0.0,39.72,3.34,6.23,0.3698403622071538,0,주3건(전체),익절,100%+,177.4,195.5,37.0
2021-05-14,078350,한양디지텍,KOSDAQ,6650.0,2022-02-07,18450.0,177.44360902255642,195.4887218045113,58.24,7929273800.0,mixed,10.701107011070121,12.149532710280365,7.913669064748197,-6.25,2.842103269911765,-11.675579322638141,96835.0,0.0,39.72,3.34,6.23,0.3688557478060753,0,주3건(전체),익절,100%+,177.4,195.5,36.9
2021-05-14,078350,한양디지텍,KOSDAQ,6650.0,2022-02-07,18450.0,177.44360902255642,195.4887218045113,51.12,7929273800.0,mixed,10.701107011070121,12.149532710280365,7.913669064748197,-6.25,2.842103269911765,-11.675579322638141,96835.0,0.0,39.72,3.34,6.23,0.37220808780072934,0,주3건(전체),익절,100%+,177.4,195.5,37.2
2021-05-07,003380,하림지주,KOSDAQ,11150.0,2022-01-26,8960.0,-19.64125560538117,14.798206278026903,75.37,39971512350.0,new_high_240,23.337363966142675,43.05750350631137,46.34146341463414,0.0,2.164604896661274,-6.060606060606055,,,5.31,0.36,8.76,0.4618348562720269,0,주3건(전체),중립,일반,-19.6,14.8,46.2
2021-05-07,003380,하림지주,KOSDAQ,11150.0,2022-01-26,8960.0,-19.64125560538117,14.798206278026903,68.61,39971512350.0,new_high_240,23.337363966142675,43.05750350631137,46.34146341463414,0.0,2.164604896661274,-6.060606060606055,,,5.31,0.36,8.76,0.4598003222111665,0,주3건(전체),중립,일반,-19.6,14.8,46.0
2021-05-07,003380,하림지주,KOSDAQ,11150.0,2022-01-26,8960.0,-19.64125560538117,14.798206278026903,68.98,39971512350.0,new_high_240,23.337363966142675,43.05750350631137,46.34146341463414,0.0,2.164604896661274,-6.060606060606055,,,5.31,0.36,8.76,0.4598003222111665,0,주3건(전체),중립,일반,-19.6,14.8,46.0
2021-04-26,030530,원익홀딩스,KOSDAQ,7500.0,2022-01-14,4980.0,-33.599999999999994,-0.2666666666666706,54.69,27275760000.0,box_breakout,-1.2569832402234637,65.38011695906434,81.04993597951345,-1.2569832402234637,0.8906410605263156,-15.211267605633804,,,79.01,2.14,6.18,0.4725185464604235,0,주3건(전체),손절,일반,-33.6,-0.3,47.3
2021-04-22,058610,에스피지,KOSDAQ,10400.0,2022-01-12,13150.0,26.442307692307686,40.38461538461537,50.92,30215369600.0,pullback_recovery,-2.3760330578512345,38.970588235294116,77.96610169491525,-10.849056603773588,-0.20720941347838087,-18.018867924528305,127328.0,128210.0,300.94,10.67,6.63,0.4390929886935532,0,주3건(전체),익절,일반,26.4,40.4,43.9
2021-04-13,060250,NHN KCP,KOSDAQ,33627.0,2022-01-03,29850.0,-11.232045677580516,21.26862342760283,53.85,26579318832.0,pullback_recovery,-20.70935611901813,-20.502357175444818,56.27024064570774,-26.713865133884763,-4.89715053267268,-34.10740559097597,,,16.62,2.4,10.09,0.592497488705507,1,주3건(전체),중립,일반,-11.2,21.3,59.2
2021-04-05,031980,피에스케이홀딩스,KOSDAQ,10450.0,2021-12-23,15650.0,49.76076555023923,52.15311004784689,69.58,22226836500.0,new_high_240,6.580493537015286,22.567567567567572,35.373134328358205,-0.8743169398907069,-1.822086606634248,-16.93989071038251,-3975.0,65117.0,32.24,5.84,6.0,0.41840805275969684,0,주3건(전체),익절,50%+,49.8,52.2,41.8
2021-04-05,031980,피에스케이홀딩스,KOSDAQ,10450.0,2021-12-23,15650.0,49.76076555023923,52.15311004784689,68.06,22226836500.0,new_high_240,6.580493537015286,22.567567567567572,35.373134328358205,-0.8743169398907069,-1.822086606634248,-16.93989071038251,-3975.0,65117.0,32.24,5.84,6.0,0.41840805275969684,0,주3건(전체),익절,50%+,49.8,52.2,41.8
2021-04-05,031980,피에스케이홀딩스,KOSDAQ,10450.0,2021-12-23,15650.0,49.76076555023923,52.15311004784689,77.3,22226836500.0,new_high_240,6.580493537015286,22.567567567567572,35.373134328358205,-0.8743169398907069,-1.822086606634248,-16.93989071038251,-3975.0,65117.0,32.24,5.84,6.0,0.4211396485969413,0,주3건(전체),익절,50%+,49.8,52.2,42.1
2021-03-31,023160,태광,KOSDAQ,8800.0,2021-12-20,10600.0,20.45454545454546,53.40909090909092,55.33,8970473600.0,new_high_120,16.078984485190407,29.60629921259843,15.1048951048951,-12.910052910052904,0.8315388175349501,-11.72761664564943,354283.0,462391.0,16.04,1.6,20.76,0.3058594877710978,0,주3건(전체),익절,50%+,20.5,53.4,30.6
2021-03-24,214450,파마리서치,KOSDAQ,70900.0,2021-12-13,77000.0,8.60366713681242,43.441466854724965,55.72,40665829400.0,box_breakout,16.055846422338572,4.724409448818889,70.95115681233932,-12.729658792650921,1.452373106540507,-13.405238828967647,197184.0,78541.0,21.47,5.12,5.91,0.5363999187695431,1,주3건(전체),익절,일반,8.6,43.4,53.6
2021-03-23,019210,와이지-원,KOSDAQ,7940.0,2021-12-10,7570.0,-4.659949622166248,42.9471032745592,54.76,17319410840.0,new_high_240,20.915032679738555,54.81171548117154,93.71727748691099,0.0,0.31322686777679093,-17.151162790697672,,,27.63,1.64,22.05,0.3907794331385977,0,주3건(전체),중립,일반,-4.7,42.9,39.1
2021-03-23,019210,와이지-원,KOSDAQ,7940.0,2021-12-10,7570.0,-4.659949622166248,42.9471032745592,55.98,17319410840.0,new_high_240,20.915032679738555,54.81171548117154,93.71727748691099,0.0,0.31322686777679093,-17.151162790697672,,,27.63,1.64,22.05,0.3907794331385977,0,주3건(전체),중립,일반,-4.7,42.9,39.1
2021-03-15,007390,네이처셀,KOSDAQ,9800.0,2021-12-02,18300.0,86.73469387755102,402.0408163265306,43.1,52396562400.0,V_recovery,-11.442786069651746,-14.832535885167463,23.26869806094183,-29.92125984251969,-3.817971380513279,-24.97607655502392,-358495.0,-80549.0,,23.01,8.74,0.4840719676298729,0,주3건(전체),익절,슈퍼위너,86.7,402.0,48.4
2021-03-08,083650,비에이치아이,KOSDAQ,3645.0,2021-11-25,4070.0,11.659807956104263,111.79698216735252,56.26,10144898865.0,persistent_uptrend,36.00867678958786,43.807339449541296,75.13966480446928,-1.8779342723004744,2.9815253808204365,-16.901408450704224,-138449.0,4791.0,39.48,13.3,16.32,0.34065464291368547,0,주3건(전체),익절,100%+,11.7,111.8,34.1
2021-03-03,095610,테스,KOSDAQ,32450.0,2021-11-22,29200.0,-10.01540832049307,16.17873651771957,56.31,29849781500.0,mixed,7.5731497418244365,41.08352144469527,32.135306553911214,-5.303030303030298,1.1684160952458318,-11.515151515151512,22850.0,571801.0,38.58,5.58,11.54,0.4781536037066012,0,주3건(전체),중립,일반,-10.0,16.2,47.8
2021-02-17,033160,엠케이전자,KOSDAQ,13000.0,2021-11-09,18450.0,41.92307692307693,113.46153846153845,75.28,62587655000.0,mixed,20.351239669421496,14.215686274509798,39.52095808383233,-6.048387096774189,2.9923146660278905,-11.965811965811968,,,570.0,1.94,13.55,0.4251115649001164,0,주3건(전체),익절,100%+,41.9,113.5,42.5
2021-02-17,033160,엠케이전자,KOSDAQ,13000.0,2021-11-09,18450.0,41.92307692307693,113.46153846153845,57.46,62587655000.0,mixed,20.351239669421496,14.215686274509798,39.52095808383233,-6.048387096774189,2.9923146660278905,-11.965811965811968,,,570.0,1.94,13.55,0.4239634288950747,0,주3건(전체),익절,100%+,41.9,113.5,42.4
2021-02-17,033160,엠케이전자,KOSDAQ,13000.0,2021-11-09,18450.0,41.92307692307693,113.46153846153845,66.65,62587655000.0,mixed,20.351239669421496,14.215686274509798,39.52095808383233,-6.048387096774189,2.9923146660278905,-11.965811965811968,,,570.0,1.94,13.55,0.42307703083925596,0,주3건(전체),익절,100%+,41.9,113.5,42.3
