Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close
2024-05-31,2024,083650,비에이치아이,KOSDAQ,11290.0,41461158910.0,0.8042756195460649,0.8072491014744477,0.8271652204163277,0.7246066405348582,0.4712892048888649,3.508287321488464,5.049173906428953,-0.08006752295828035,5.686310171016325,76.26217891939771,119.66341895482726,19900.0
2024-05-30,2024,950160,코오롱티슈진,KOSDAQ,14100.0,3185401500.0,0.781954120887811,0.7915799669927875,0.787793721866441,0.721350539511876,0.4305151246822509,3.459995785654553,4.989178886244319,0.07791917747893873,5.666965585466857,164.5390070921986,189.7163120567376,37300.0
2024-05-28,2024,007390,네이처셀,KOSDAQ,11600.0,8361720800.0,0.8690425018068362,0.8298124096908193,0.8484642761168586,0.7353431083444548,0.4227784208897623,3.8547535542940707,5.5849663418633915,0.20525838835695653,6.57653291361955,54.48275862068965,140.94827586206895,17920.0
2024-05-28,2024,950160,코오롱티슈진,KOSDAQ,14240.0,9207356160.0,0.8144963337718183,0.8069195827990195,0.7807616838154091,0.7233278941788289,0.43367697608997363,3.567276107149446,5.166051590002619,0.059032591723198635,5.976578457268315,157.7247191011236,186.86797752808988,36700.0
2024-05-27,2024,001440,대한전선,KOSPI,19010.0,166997584230.0,0.8210716479403892,0.8042127219701147,0.8355921842208133,0.7582670339075683,0.4833928792912822,3.5383404524145883,5.099197229989142,-0.06483814442046087,5.793752082947481,-32.93003682272489,1.525512887953706,12750.0
2024-05-24,2024,060370,LS마린솔루션,KOSDAQ,13911.0,202063882725.0,0.7932319334065707,0.7389622284181282,0.7949904965094983,0.7313455079242605,0.4572452068141373,3.3686392257281286,4.867338999936196,-0.028544521712667414,5.646093299995021,10.847530731076116,56.78240241535475,15420.0
2024-05-24,2024,007390,네이처셀,KOSDAQ,11800.0,54012057400.0,0.8778210652231494,0.8486403538335113,0.8524571559631726,0.7386741807773758,0.46393396686612753,3.831012948650632,5.547041289147559,0.010135683187286304,6.458540817900856,55.33898305084746,136.86440677966104,18330.0
2024-05-23,2024,007390,네이처셀,KOSDAQ,10920.0,15085444920.0,0.8600914054473805,0.8255625478621197,0.8449782123105058,0.721631911798681,0.4406826053930055,3.7822310396598167,5.474512519092632,0.08482900894284029,6.397501027508777,72.16117216117217,155.95238095238093,18800.0
2024-05-23,2024,032820,우리기술,KOSDAQ,2250.0,355096086750.0,0.799685829872665,0.821839000142985,0.7819478084570308,0.7081118428241874,0.4424104218800425,3.5289429545294184,5.096823692466199,-0.013880615294806553,5.784806189326438,-3.111111111111109,46.66666666666666,2180.0
2024-05-22,2024,007390,네이처셀,KOSDAQ,10670.0,43994736060.0,0.8201147654150919,0.8302307715822326,0.8214765083568555,0.6908378695676838,0.4678305671961572,3.5915058275831657,5.179020177008309,-0.1360005884885629,5.861994818170134,89.31583880037488,161.94939081537018,20200.0
2024-05-16,2024,032820,우리기술,KOSDAQ,1983.0,178713107868.0,0.7823496450127853,0.7959379236976776,0.7671392242632755,0.737247670162515,0.49979405048545433,3.3085069438772385,4.7713811452661945,-0.25733568783896654,5.324526197700581,0.2521432173474558,66.41452344931922,1988.0
2024-05-16,2024,001440,대한전선,KOSPI,18580.0,667093848860.0,0.7795287841496602,0.6734943336497873,0.7661470636121481,0.8065500075172289,0.48487975335065886,3.1452154098344915,4.5561403916080465,-0.04515168810668824,5.3708890747433085,-29.11733046286329,12.755651237890199,13170.0
2024-05-16,2024,323280,태성,KOSDAQ,5480.0,83626465920.0,0.8066467916725034,0.8087031414859939,0.7720994137398388,0.7494085359569437,0.5285813611557919,3.3479317786747558,4.836995571606968,-0.37199032012523325,5.423561110946075,436.4963503649635,699.8540145985402,29400.0
2024-05-14,2024,323280,태성,KOSDAQ,5413.0,95757593900.0,0.7664527504005162,0.8075431765508568,0.759004257485487,0.7401434079979755,0.5247548297258705,3.2201676140615803,4.63208987341217,-0.38448307514791447,5.040753355375809,481.0086828006651,709.7542952152227,31450.0
2024-05-13,2024,001440,대한전선,KOSPI,18110.0,1546147497950.0,0.7675402360290394,0.7086195671209803,0.783484790497679,0.790462938755294,0.47776250666090525,3.193509835944458,4.605137584902121,-0.024401865296259206,5.2865898269858675,-29.76256212037548,15.681943677526222,12720.0
2024-05-10,2024,001440,대한전선,KOSPI,14600.0,177135011000.0,0.7141753600946098,0.7220469766470227,0.7606484944826771,0.7242732205946215,0.4990730286433659,2.9880989824503095,4.278400162319674,-0.2861702075449095,4.646388457729268,-12.534246575342467,43.493150684931514,12770.0
2024-05-09,2024,001440,대한전선,KOSPI,14380.0,106291423700.0,0.700703326874588,0.7359325486199776,0.7658541888412491,0.7276492447982863,0.4921622610482729,2.987538470298434,4.264749137309326,-0.23965862680354277,4.546221963504516,-10.292072322670375,45.68845618915161,12900.0
2024-05-09,2024,323280,태성,KOSDAQ,4694.0,62297251838.0,0.7858088361883492,0.7850945080667432,0.712350871810521,0.6853026041480621,0.5549142275031718,3.13759068746934,4.546841386376238,-0.6916150574092139,5.0835172243676325,574.2650191734128,833.787814230933,31650.0
2024-05-07,2024,001440,대한전선,KOSPI,14300.0,255475248600.0,0.7026797351885097,0.7318274889521827,0.7744498108900921,0.7168623020188918,0.49319933980939984,2.9938315702650953,4.271905445308806,-0.25782228411912333,4.560800652838099,-10.559440559440558,46.5034965034965,12790.0
2024-05-07,2024,257720,실리콘투,KOSDAQ,15960.0,21701849400.0,0.7551510039961322,0.7141269292729152,0.7381721051781978,0.7198886654137786,0.5330513706788005,3.0087127697183664,4.343026871668288,-0.48730741738824745,4.88625318656732,82.01754385964912,239.59899749373434,29050.0
2024-05-02,2024,229640,LS에코에너지,KOSPI,31850.0,418959550100.0,0.7924694320722455,0.7083379853902725,0.7454294860065712,0.7456885633320305,0.5969497885031761,2.991445183302364,4.3336032516388165,-0.7479423298452486,4.939945378206575,37.04866562009419,61.06750392464677,43650.0
2024-04-30,2024,229640,LS에코에너지,KOSPI,30300.0,588643341900.0,0.7868789750435884,0.7073930858720521,0.746592417933772,0.7346450770158037,0.6103445725676218,2.947629826737372,4.264739747192953,-0.8358402908727292,4.817066887597775,49.66996699669968,69.3069306930693,45350.0
2024-04-30,2024,099320,쎄트렉아이,KOSDAQ,51600.0,58973227200.0,0.7625679466726393,0.7289984005071727,0.7309532831614405,0.736869122670089,0.5187074849574902,3.0747397540251367,4.445667362666511,-0.38884589628583255,5.0321420419389415,-12.4031007751938,13.372093023255815,45200.0
2024-04-29,2024,257720,실리콘투,KOSDAQ,14280.0,28542549840.0,0.7766157111739278,0.7663277344512894,0.7690371155328637,0.7450165837188124,0.5532157719839773,3.1419443067636257,4.525123824353149,-0.5070085769493984,5.000078251819391,122.33893557422971,279.5518207282913,31750.0
2024-04-29,2024,010120,LS ELECTRIC,KOSPI,34660.0,376279531300.0,0.7830974905835999,0.7672252108185528,0.7331800704633715,0.8338252194714787,0.6195375647759646,2.994235228890072,4.324505250690583,-0.696857314473494,4.733287081956177,40.79630698211194,58.395845354875945,48800.0
