Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2022-09-13,213420,덕산네오룩스,KOSDAQ,37950.0,2023-06-05,44750.0,17.9,34.4,익절,일반,45.3,0,54.51,11164700250.0,mixed,0.0,-20.538720538720533,-48.24561403508771,-50.69637883008357,1.0390029811977852,-18.15642458100558,-421026.0,361187.0,21.45,2.5,주3건
2022-09-13,213420,덕산네오룩스,KOSDAQ,37950.0,2023-06-05,44750.0,17.9,34.4,익절,일반,45.3,0,57.17,11164700250.0,mixed,0.0,-20.538720538720533,-48.24561403508771,-50.69637883008357,1.0390029811977852,-18.15642458100558,-421026.0,361187.0,21.45,2.5,주3건
2022-09-13,213420,덕산네오룩스,KOSDAQ,37950.0,2023-06-05,44750.0,17.9,34.4,익절,일반,45.3,0,57.41,11164700250.0,mixed,0.0,-20.538720538720533,-48.24561403508771,-50.69637883008357,1.0390029811977852,-18.15642458100558,-421026.0,361187.0,21.45,2.5,주3건
2022-09-07,043260,성호전자,KOSDAQ,1600.0,2023-06-01,1745.0,9.1,31.2,익절,일반,44.4,0,53.18,8240086400.0,box_breakout,0.9868421052631637,1.9933554817275656,-12.034383954154727,-18.133333333333333,0.3185331488826914,-8.47457627118644,,,30.76,11.67,주3건
2022-09-06,213420,덕산네오룩스,KOSDAQ,36150.0,2023-05-31,45800.0,26.7,41.1,익절,일반,49.4,0,52.08,8221413750.0,pullback_recovery,-13.417721518987346,-13.745271122320302,-48.95522388059701,-52.5,-0.15103328839570093,-21.44772117962467,-252884.0,133726.0,21.45,2.5,주3건
2022-09-06,218410,RFHIC,KOSDAQ,26850.0,2023-05-31,23300.0,-13.2,5.0,중립,일반,36.4,0,57.39,9510941250.0,pullback_recovery,-16.176470588235293,-5.350553505535061,-21.91780821917808,-29.045643153526967,0.8948833916551111,-27.845884413309985,-198405.0,226346.0,87.62,7.3,주3건
2022-09-02,127120,제이에스링크,KOSDAQ,5110.0,2023-05-26,3660.0,-28.4,5.3,손절,일반,50.0,0,55.76,6274492350.0,mixed,7.023809523809521,41.79810725552051,20.50938337801609,-16.91312384473198,1.0334255965555168,-17.48251748251748,120933.0,1.0,,18.35,주3건
2022-08-30,213420,덕산네오룩스,KOSDAQ,33750.0,2023-05-23,44450.0,31.7,51.1,익절,50%+,50.5,0,51.22,5979690000.0,downtrend,-23.218673218673214,-21.679197994987465,-56.29370629370629,-56.59722222222222,-2.495184807784736,-27.743526510480887,39400.0,-160723.0,21.45,2.5,주3건
2022-08-29,044490,태웅,KOSDAQ,13650.0,2023-05-22,13260.0,-2.9,14.1,중립,일반,43.1,0,55.29,11905762050.0,persistent_uptrend,33.160621761658035,16.81818181818182,16.81818181818182,-4.104477611940293,4.4771969817300175,-20.70175438596491,64888.0,43119.0,152.03,1.35,주3건
2022-08-26,127120,제이에스링크,KOSDAQ,4615.0,2023-05-19,4000.0,-13.3,16.6,중립,일반,35.4,0,62.38,10373047815.0,pullback_recovery,-5.755395683453235,12.60744985673352,-4.263093788063332,-27.35674676524954,-0.8390471302403315,-17.48251748251748,-114653.0,2.0,,18.35,주3건
