Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2023-04-14,950160,코오롱티슈진,KOSDAQ,10990.0,2024-01-10,10530.0,-4.2,2.9,중립,일반,48.3,0,53.19,6746717040.0,box_breakout,2.3414634146341484,-34.6417445482866,-49.68824940047961,-0.6124005943394771,-16.747337850919653,,,,138.57,주3건_RF안전
2023-04-11,252990,샘씨엔에스,KOSDAQ,5630.0,2024-01-05,5770.0,2.5,37.5,익절,일반,43.0,0,76.9,31467094660.0,mixed,12.558685446009399,23.106546854942223,-26.003086419753085,0.8508115431656511,-15.55783009211873,,,57.91,5.22,주3건_RF안전
2023-04-11,252990,샘씨엔에스,KOSDAQ,5630.0,2024-01-05,5770.0,2.5,37.5,익절,일반,43.0,0,76.69,31467094660.0,mixed,12.558685446009399,23.106546854942223,-26.003086419753085,0.8508115431656511,-15.55783009211873,,,57.91,5.22,주3건_RF안전
2023-04-05,036830,솔브레인홀딩스,KOSDAQ,34000.0,2023-12-28,44350.0,30.4,45.6,익절,일반,43.9,0,54.18,21887976000.0,new_high_240,20.321931589537236,38.42592592592593,-0.4991680532445919,1.187588200252051,-14.62585034013606,54469.0,47288.0,2.39,0.64,주3건_RF안전
2023-04-05,036830,솔브레인홀딩스,KOSDAQ,34000.0,2023-12-28,44350.0,30.4,45.6,익절,일반,44.3,0,50.52,21887976000.0,new_high_240,20.321931589537236,38.42592592592593,-0.4991680532445919,1.187588200252051,-14.62585034013606,54469.0,47288.0,2.39,0.64,주3건_RF안전
2023-04-05,036830,솔브레인홀딩스,KOSDAQ,34000.0,2023-12-28,44350.0,30.4,45.6,익절,일반,43.9,0,56.54,21887976000.0,new_high_240,20.321931589537236,38.42592592592593,-0.4991680532445919,1.187588200252051,-14.62585034013606,54469.0,47288.0,2.39,0.64,주3건_RF안전
2023-03-27,122640,예스티,KOSDAQ,10030.0,2023-12-18,17850.0,78.0,165.2,익절,100%+,38.6,0,48.0,6032814310.0,mixed,27.0718232044199,13.440197287299638,-20.68965517241379,4.568935260083758,-6.512890094979651,54330.0,65488.0,684.09,4.62,주3건_RF안전
2023-03-27,397030,에이프릴바이오,KOSDAQ,12380.0,2023-12-18,11730.0,-5.3,21.2,중립,일반,33.6,0,60.42,9893972200.0,new_high_120,33.23142050799623,83.42237332038206,-3.8200339558573826,3.480824581771091,-11.28131021194605,132267.0,-20715.0,,13.37,주3건_RF안전
2023-03-27,122640,예스티,KOSDAQ,10030.0,2023-12-18,17850.0,78.0,165.2,익절,100%+,38.2,0,56.36,6032814310.0,mixed,27.0718232044199,13.440197287299638,-20.68965517241379,4.568935260083758,-6.512890094979651,54330.0,65488.0,684.09,4.62,주3건_RF안전
2023-03-24,083450,GST,KOSDAQ,13405.0,2023-12-15,12228.0,-8.8,18.1,중립,일반,35.1,0,60.38,24598255430.0,mixed,18.808653561197275,32.23749312809237,-28.57227699251692,2.0271441615272576,-15.578999018645733,49811.0,107973.0,19.79,3.42,주3건_RF안전
