Date,Code,Name,Market,Score,Close,preset,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,peak_180d,ret_180d,sell_date,sell_close,Amount,past_60,past_120,past_240,slope60,slope120,pos_252_high,drawdown60,new_high_252,vol20,vol60,range60_pct,range120_pct,days_since_52w_low,days_since_52w_high,pos_60_high,pos_120_high,pos_240_high,past_5d,past_20,runup60,For_5d,For_20d,Inst_5d,Inst_20d,PER_num,PBR_num,외인소진율_num,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,Year,is_loser,is_sw,is_100,is_50,RF확률,RF위험,bucket,year,필터,모드
2023-07-21,323350,다원넥스뷰,KOSDAQ,56.55,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,20.2,100,100,True,0.0,0.0,0.0,0.0,0.838,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,54.761904761904766,28.869047619047628,2024-04-17,12990.0,0.0,5.000000000000004,-8.695652173913048,-15.915915915915912,0.05263375135048214,0.05263375135048214,-27.586206896551722,-2.3255813953488413,0,3.2040310512408943,2.6139402832415475,16.847826086956523,16.847826086956523,16,367,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.416666666666667,1.666666666666668,5.000000000000004,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.46167916440320217,0,2023-07-21,2023,회피X,daily_1
2023-07-24,323350,다원넥스뷰,KOSDAQ,56.65,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,22.7,100,100,True,0.0,0.0,0.0,0.0,0.859,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,54.761904761904766,42.75793650793651,2024-04-18,14390.0,0.0,7.554417413572345,0.0,-16.000000000000004,0.056406903540376516,0.056406903540376516,-27.586206896551722,-2.3255813953488413,0,3.1454845888765,2.59309910225613,16.847826086956523,16.847826086956523,19,370,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.6295347844643621,2.5181391378574483,7.554417413572345,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.45562278361035263,0,2023-07-24,2023,회피X,daily_1
2023-07-11,003465,유화증권우,KOSPI,40.84,2520.0,pullback,40.0,0.0,0.0,75,40.1,100.0,0,66.0,50,16.9,50,70,True,0.0,0.0,0.0,0.0,0.811,MA240,2520.0,2520.0,2514.5,False,가짜 눌림,True,False,True,0.7936507936507908,-10.912698412698408,2024-04-04,2245.0,0.0,5.439330543933063,4.347826086956519,-3.632887189292544,0.10059381244037645,0.10059381244037645,-9.677419354838712,-2.135922330097084,0,0.8322426909183556,1.151249425698118,9.808102345415778,9.808102345415778,109,323,-9.677419354838712,-9.677419354838712,-9.677419354838712,0.45327754532775527,1.813110181311021,5.439330543933063,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.1939817327212052,0,2023-07-11,2023,회피X,daily_1
2023-07-25,323350,다원넥스뷰,KOSDAQ,56.69,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,23.9,100,100,True,0.0,0.0,0.0,0.0,0.868,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,62.698412698412696,47.22222222222223,2024-04-19,14840.0,0.0,7.416879795396425,-1.17647058823529,-26.82926829268293,0.05591088266095342,0.05591088266095342,-27.586206896551722,-2.3255813953488413,0,3.1288752192141347,2.572515943819189,16.847826086956523,16.847826086956523,20,369,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.6180733162830354,2.4722932651321416,7.416879795396425,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.45534124361845973,0,2023-07-25,2023,회피X,daily_1
2023-07-31,323350,다원넥스뷰,KOSDAQ,56.65,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,22.7,100,100,True,0.0,0.0,0.0,0.0,0.859,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,63.69047619047619,56.94444444444444,2024-04-25,15820.0,0.0,0.0,-5.61797752808989,-8.695652173913048,0.06291969191558552,0.06291969191558552,-26.956521739130434,-2.3255813953488413,0,3.0144107526607984,2.389189198533825,16.847826086956523,16.847826086956523,26,265,-26.956521739130434,-26.956521739130434,-26.956521739130434,0.0,0.0,0.0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.43874187242188933,0,2023-07-31,2023,회피X,daily_1
2023-07-13,323350,다원넥스뷰,KOSDAQ,54.02,10080.0,pullback,40.0,0.0,0.0,100,0.0,90.2,80,0.0,30,20.2,50,85,True,0.0,0.0,2.44,0.0,0.838,MA120,10080.0,10032.0,9715.2,True,진짜 지지,True,False,True,54.761904761904766,24.007936507936513,2024-04-08,12500.0,0.0,5.000000000000004,-16.000000000000004,-25.0,0.016756335901290047,0.016756335901290047,-27.586206896551722,-6.666666666666665,0,3.2979151493387335,2.691820754220159,22.282608695652172,22.282608695652172,8,367,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.416666666666667,1.666666666666668,5.000000000000004,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.48313838494886824,0,2023-07-13,2023,회피X,daily_1
2023-10-10,001080,만호제강,KOSPI,40.16,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,0,21.8,0,70,True,0.0,0.0,0.0,0.0,0.851,,4500.0,4500.0,4469.8,False,진짜 지지,False,False,False,0.0,0.0,2024-07-03,4500.0,0.0,26.085738302045392,-12.841371295758275,66.66666666666667,0.41182368547317677,0.41182368547317677,-30.651872399445214,-25.974666886000985,0,3.8327016131797413,5.960131490987944,85.16600670118794,85.16600670118794,375,132,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.1738115251704495,8.695246100681798,26.085738302045392,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4857457981649416,0,2023-10-10,2023,회피X,daily_1
2023-10-11,001080,만호제강,KOSPI,41.57,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,0,21.1,25,70,True,0.0,0.0,0.0,0.0,0.846,,4500.0,4500.0,4508.5,False,진짜 지지,False,False,False,0.0,0.0,2024-07-04,4500.0,0.0,27.118644067796605,-12.349045578496298,46.67535853976532,0.40895285512672336,0.40895285512672336,-30.651872399445214,-25.974666886000985,0,3.831920021079154,5.955004427570426,85.16600670118794,85.16600670118794,372,133,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.259887005649717,9.039548022598868,27.118644067796605,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4856070774767675,0,2023-10-11,2023,회피X,daily_1
2023-10-16,001080,만호제강,KOSPI,41.79,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,0,27.1,25,70,True,0.0,0.0,0.0,0.0,0.895,,4500.0,4500.0,4500.0,False,진짜 지지,False,False,False,0.0,0.0,2024-07-09,4500.0,0.0,23.456790123456784,-15.030211480362542,53.846153846153854,0.38188015622200416,0.38188015622200416,-30.651872399445214,-25.974666886000985,0,3.6277414621981663,5.93974668721356,85.16600670118794,85.16600670118794,370,138,-30.651872399445214,-30.651872399445214,-30.651872399445214,1.9547325102880653,7.818930041152261,23.456790123456784,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4895723855335379,0,2023-10-16,2023,회피X,daily_1
2023-07-27,323350,다원넥스뷰,KOSDAQ,56.65,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,22.7,100,100,True,0.0,0.0,0.0,0.0,0.859,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,62.698412698412696,48.80952380952381,2024-04-23,15000.0,0.0,7.416879795396425,-3.3371691599539677,-14.28571428571429,0.054139559290107435,0.054139559290107435,-27.586206896551722,-2.3255813953488413,0,3.124054204552298,2.572590069037445,16.847826086956523,16.847826086956523,22,370,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.6180733162830354,2.4722932651321416,7.416879795396425,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.45631359739263866,0,2023-07-27,2023,회피X,daily_1
