Date,Code,Name,Market,Close,sell_close,sell_date,return_pct,peak_180d,ret_180d,Score,Amount,chart_pattern
2020-06-04,019210,와이지-원,KOSDAQ,5630.0,6140.0,2021-02-25,9.058614564831258,29.662522202486684,9.058614564831258,54.55,50118490830.0,pullback_recovery
2020-06-05,226950,올릭스,KOSDAQ,23071.0,44450.0,2021-02-26,92.66611763686012,164.40119630705215,92.66611763686012,52.82,7636754781.0,V_recovery
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,24800.0,2021-03-10,34.417344173441734,182.92682926829266,34.417344173441734,53.81,27720387000.0,persistent_uptrend
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,24800.0,2021-03-10,34.417344173441734,182.92682926829266,34.417344173441734,60.43,27720387000.0,persistent_uptrend
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,24800.0,2021-03-10,34.417344173441734,182.92682926829266,34.417344173441734,61.98,27720387000.0,persistent_uptrend
2020-06-24,240810,원익IPS,KOSDAQ,35150.0,50900.0,2021-03-18,44.807965860597434,57.041251778093894,44.807965860597434,56.42,37966499200.0,persistent_uptrend
2020-06-26,089970,브이엠,KOSDAQ,13100.0,23550.0,2021-03-22,79.7709923664122,79.7709923664122,79.7709923664122,56.33,41709365100.0,persistent_uptrend
2020-06-26,089970,브이엠,KOSDAQ,13100.0,23550.0,2021-03-22,79.7709923664122,79.7709923664122,79.7709923664122,52.44,41709365100.0,persistent_uptrend
2020-07-02,253450,스튜디오드래곤,KOSDAQ,89900.0,93400.0,2021-03-26,3.8932146829810943,25.6952169076752,3.8932146829810943,53.12,91539416400.0,mixed
2020-07-02,241710,코스메카코리아,KOSDAQ,11950.0,16350.0,2021-03-26,36.820083682008374,41.00418410041841,36.820083682008374,55.84,8201512050.0,persistent_uptrend
2020-07-03,035900,JYP Ent.,KOSDAQ,24250.0,34850.0,2021-03-29,43.71134020618557,79.79381443298969,43.71134020618557,52.82,92882932000.0,mixed
2020-07-06,241710,코스메카코리아,KOSDAQ,13000.0,16650.0,2021-03-30,28.076923076923066,31.92307692307692,28.076923076923066,59.19,12931685000.0,persistent_uptrend
2020-07-09,089010,켐트로닉스,KOSDAQ,14550.0,27350.0,2021-04-02,87.97250859106529,134.3642611683849,87.97250859106529,53.02,16152085950.0,mixed
2020-07-10,037460,삼지전자,KOSDAQ,11350.0,13700.0,2021-04-05,20.70484581497798,51.98237885462555,20.70484581497798,56.38,21104496450.0,mixed
2020-07-16,241710,코스메카코리아,KOSDAQ,13750.0,16700.0,2021-04-09,21.45454545454546,29.81818181818181,21.45454545454546,59.15,10558308750.0,mixed
2020-07-17,232140,와이씨,KOSDAQ,4875.0,6870.0,2021-04-12,40.92307692307693,64.1025641025641,40.92307692307693,53.74,21129751500.0,persistent_uptrend
2020-07-17,006730,서부T&D,KOSDAQ,6245.0,7369.0,2021-04-12,17.998398718975174,26.421136909527632,17.998398718975174,47.76,18233220495.0,mixed
2020-07-22,044490,태웅,KOSDAQ,11396.0,11000.0,2021-04-15,-3.474903474903479,49.03474903474903,-3.474903474903479,63.76,124635351148.0,new_high_240
2020-07-23,095610,테스,KOSDAQ,26050.0,34750.0,2021-04-16,33.397312859884835,37.428023032629554,33.397312859884835,57.12,155378429150.0,mixed
2020-07-23,095610,테스,KOSDAQ,26050.0,34750.0,2021-04-16,33.397312859884835,37.428023032629554,33.397312859884835,58.77,155378429150.0,mixed
2020-07-28,100790,미래에셋벤처투자,KOSDAQ,3632.0,8865.0,2021-04-21,144.0803964757709,208.37004405286342,144.0803964757709,55.28,12859194064.0,mixed
2020-07-29,084370,유진테크,KOSDAQ,32300.0,51400.0,2021-04-22,59.13312693498452,67.18266253869969,59.13312693498452,56.28,25998689900.0,persistent_uptrend
2020-07-30,127120,제이에스링크,KOSDAQ,8135.0,5370.0,2021-04-23,-33.98893669330055,300.5777504609712,-33.98893669330055,62.18,39658344645.0,persistent_uptrend
