Date,grade,Name,Code,Market,Close,ChangeRatio,avg_score,n_presets,ret_120d,ret_180d,ret_240d,ret_365d
2024-02-19,S,한전KPS,051600,KOSPI,38950,8.2,66.0,4,6.5,15.8,10.4,25.2
2024-02-16,V,신도리코,029530,KOSPI,41750,15.6,75.8,3,-11.1,-6.5,-7.8,2.5
2024-02-15,S,대창,012800,KOSPI,1676,12.3,71.8,4,-25.6,-31.2,-17.9,-17.2
2024-02-08,S,노루홀딩스,000320,KOSPI,13560,12.7,66.6,4,-8.8,-3.1,-3.8,97.6
2024-02-07,S,PS일렉트로닉스,332570,KOSDAQ,3440,14.7,71.0,4,-17.0,-26.5,36.8,16.7
2024-02-06,S,세방전지,004490,KOSPI,66000,10.2,65.6,4,29.2,10.2,22.7,-2.3
2024-02-02,S,SK스퀘어,402340,KOSPI,59500,11.0,67.6,4,44.9,41.0,49.1,135.8
2024-02-01,V,한화,000880,KOSPI,30000,10.1,77.2,1,2.5,-6.5,-2.7,200.0
2024-02-01,V,한화생명,088350,KOSPI,3355,10.5,76.0,1,-10.0,-11.8,-26.7,0.1
2024-01-30,S,동아지질,028100,KOSPI,14980,12.9,67.3,4,-10.8,-12.3,-5.0,5.8
2024-01-29,V,태광산업,003240,KOSPI,809000,17.4,76.7,3,-24.1,-19.7,-21.9,24.2
2024-01-26,S,태광산업,003240,KOSPI,689000,8.3,66.2,4,-9.4,-6.5,-7.8,49.5
2024-01-19,S,휴림로봇,090710,KOSDAQ,4000,14.3,74.3,4,-38.8,-66.5,-59.7,-26.4
2024-01-15,S,오이솔루션,138080,KOSDAQ,15420,12.5,71.7,4,-23.0,-32.4,-33.3,-34.7
2024-01-12,S,동방,004140,KOSPI,2360,11.1,71.2,4,18.9,6.8,-3.2,59.7
2024-01-11,S,쏠리드,050890,KOSDAQ,6650,9.0,66.3,4,-22.9,-31.4,2.3,3.8
2024-01-08,S,더존비즈온,012510,KOSPI,34150,11.2,71.0,4,110.2,54.9,83.6,137.2
2024-01-02,S,원익QnC,074600,KOSDAQ,32200,12.2,68.9,4,17.4,-18.3,-42.1,-42.5
2023-12-22,S,티엘비,356860,KOSDAQ,29750,10.4,68.0,4,-23.9,-58.7,-54.4,-25.7
2023-12-21,S,인카금융서비스,211050,KOSDAQ,3362,12.9,71.2,4,69.5,33.1,80.0,327.7
2023-12-20,S,하림지주,003380,KOSDAQ,8800,10.1,69.4,4,-29.9,-41.0,-31.4,3.9
2023-12-19,S,하림지주,003380,KOSDAQ,7990,14.1,70.4,4,-22.8,-34.8,-23.0,16.6
2023-12-14,S,HLB생명과학,067630,KOSDAQ,10553,8.1,66.6,4,-17.0,9.2,-5.8,-45.5
2023-12-12,S,LS마린솔루션,060370,KOSDAQ,10628,14.1,68.5,4,44.6,42.4,8.3,138.2
2023-11-30,S,한진,002320,KOSPI,25050,12.1,73.6,4,-23.5,-21.6,-24.2,-17.2
2023-11-24,V,NHN KCP,060250,KOSDAQ,10130,15.5,75.6,3,-1.0,-25.2,-28.0,-24.9
2023-09-19,S,SK가스,018670,KOSPI,147400,9.4,69.4,4,1.3,18.9,16.7,62.5
2023-09-19,V,코나아이,052400,KOSDAQ,21750,17.4,78.3,3,-22.6,-28.0,-30.9,41.1
2023-09-18,S,SK디앤디,210980,KOSPI,15303,12.5,66.3,4,-8.5,-25.4,-39.5,-43.1
2023-09-11,S,종근당,185750,KOSPI,85513,7.3,65.9,4,24.1,14.5,34.3,-5.2
2023-09-04,S,에스피지,058610,KOSDAQ,37000,14.6,65.7,4,-20.5,-30.0,-31.6,-32.4
2023-08-08,S,휴온스글로벌,084110,KOSDAQ,23200,10.5,66.0,4,1.9,-5.6,6.9,53.4
2023-08-08,V,휴온스,243070,KOSDAQ,40200,20.0,77.4,3,-13.1,-13.1,-18.8,-37.4
2023-08-07,S,한샘,009240,KOSPI,53600,9.8,67.8,4,-7.0,2.1,18.3,-16.5
2023-07-28,S,원익IPS,240810,KOSDAQ,37700,9.4,70.0,4,-14.2,-4.2,-7.8,-44.0
2023-07-25,S,풍산홀딩스,005810,KOSPI,27933,10.0,65.8,4,-15.7,4.4,-3.0,-6.4
2023-07-21,S,유한양행,000100,KOSPI,64124,11.5,70.3,4,-6.7,6.8,51.1,105.7
2023-07-20,V,퓨쳐켐,220100,KOSDAQ,9730,19.5,78.0,3,-4.3,-9.6,136.9,77.5
2023-07-12,S,극동유화,014530,KOSPI,4340,9.9,72.0,4,-1.5,-8.4,-9.3,-19.4
2023-07-11,S,한화시스템,272210,KOSPI,17220,13.0,68.5,4,2.8,7.1,5.5,42.3
2023-06-26,S,샘씨엔에스,252990,KOSDAQ,6200,14.2,71.9,4,-9.0,14.0,19.2,-36.0
2023-06-23,S,테크윙,089030,KOSDAQ,8240,10.3,65.7,4,25.0,248.3,503.2,343.0
2023-06-22,V,코오롱인더,120110,KOSPI,55300,18.4,75.8,3,-22.8,-31.3,-28.8,-46.7
2023-06-20,S,케이씨텍,281820,KOSPI,21400,10.4,65.3,4,21.7,90.4,100.0,30.6
2023-06-15,S,심텍,222800,KOSDAQ,34450,11.3,67.4,4,7.4,-15.2,-5.8,-67.9
2023-06-14,V,대상홀딩스,084690,KOSPI,9910,15.4,75.9,3,46.5,10.6,-3.2,20.9
2023-06-12,S,SK네트웍스,001740,KOSPI,5310,9.0,66.7,4,5.5,20.7,-5.8,-21.0
2023-06-02,S,예스티,122640,KOSDAQ,11500,8.3,66.9,4,53.0,93.9,63.4,-30.2
2023-05-15,S,티앤엘,340570,KOSDAQ,54000,9.8,68.0,4,-21.0,-16.1,6.9,17.8
2023-05-12,V,남선알미늄,008350,KOSPI,3015,16.9,76.4,3,-33.2,-31.8,-36.4,-53.2
2023-05-11,S,YG PLUS,037270,KOSPI,6290,10.5,67.4,4,-25.7,-34.2,-35.2,-27.7
2023-05-11,V,비츠로테크,042370,KOSDAQ,9090,22.0,75.0,3,-15.5,-15.4,-7.7,-18.3
2023-05-03,V,한솔테크닉스,004710,KOSPI,7838,17.5,75.1,3,-20.1,-7.2,-25.8,-42.6
2023-04-27,S,HD건설기계,267270,KOSPI,67900,14.7,68.0,4,-28.4,-31.9,-23.7,-27.0
2023-04-20,S,현대로템,064350,KOSPI,31700,11.6,67.9,4,-17.4,-16.7,23.0,108.5
2023-04-20,V,퍼스텍,010820,KOSPI,4650,24.7,76.7,3,-16.8,-25.6,-26.9,-31.2
2023-04-18,S,인벤티지랩,389470,KOSDAQ,11880,13.8,68.3,4,83.5,29.6,-12.4,77.6
2023-04-17,V,우리기술,032820,KOSDAQ,1810,22.0,76.2,3,-22.1,-28.0,-21.5,31.8
2023-04-13,S,티에이치엔,019180,KOSPI,4265,13.1,66.0,4,-29.0,-17.9,-13.5,-22.2
2023-04-13,V,태양금속,004100,KOSPI,2180,17.2,76.2,3,78.0,51.8,0.9,39.0
2023-04-11,V,샘씨엔에스,252990,KOSDAQ,5630,17.4,79.0,3,-9.1,2.5,24.7,10.5
2023-03-28,V,포스코스틸리온,058430,KOSPI,4150,18.7,75.7,3,84.6,24.3,20.7,-1.9
2023-03-22,S,HB테크놀러지,078150,KOSDAQ,2205,10.9,66.4,4,46.0,5.0,10.2,16.3
2023-03-07,S,에이프릴바이오,397030,KOSDAQ,10229,13.3,70.2,4,8.8,9.5,29.1,129.3
2023-03-06,S,엘티씨,170920,KOSDAQ,12420,11.9,71.2,4,-22.7,-8.8,23.6,-13.1
2023-02-21,S,티와이홀딩스,363280,KOSPI,13450,9.1,68.9,4,-50.3,-59.9,-69.9,-72.3
2023-02-20,S,한국철강,104700,KOSPI,7510,8.4,71.5,4,-20.5,-17.0,-8.3,9.9
2023-02-16,S,컴투스,078340,KOSDAQ,72400,12.2,67.8,4,-29.0,-32.0,-36.5,-47.3
2023-02-14,S,디바이스,187870,KOSDAQ,9534,9.7,69.6,4,-24.8,-29.5,-23.5,-29.7
2023-02-14,V,제주반도체,080220,KOSDAQ,5140,20.7,78.3,3,-17.5,-6.6,376.7,158.6
2023-02-13,S,한화엔진,082740,KOSPI,8620,9.2,65.2,4,31.8,-4.4,-3.0,57.2
2023-02-09,S,무학,033920,KOSPI,5900,9.3,68.8,4,-6.6,-5.9,-15.5,-4.1
2023-02-09,V,나노신소재,121600,KOSDAQ,109200,17.8,75.7,3,39.7,14.1,-12.5,-31.4
2023-02-07,S,이녹스첨단소재,272290,KOSDAQ,34200,11.8,65.6,4,28.8,-21.5,-17.4,-10.8
2023-02-02,S,유안타증권,003470,KOSPI,3085,8.2,69.4,4,-15.7,-22.4,-21.7,-1.8
2023-01-30,S,이수페타시스,007660,KOSPI,7420,14.7,67.7,4,448.5,225.7,265.7,520.6
2023-01-10,S,다우기술,023590,KOSPI,22100,11.1,66.4,4,-20.5,-22.6,-19.0,-12.4
2022-12-08,V,동원산업,006040,KOSPI,47921,9.0,75.2,4,-16.4,-33.2,-38.4,-34.7
2022-09-16,S,에이블씨엔씨,078520,KOSPI,6340,9.7,70.7,4,14.7,27.1,25.7,3.5
2022-08-10,S,하이록코리아,013030,KOSDAQ,22100,9.7,67.9,4,-3.4,-1.1,24.7,13.3
