n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
255,25500000,16819400.986328904,42319400.9863289,65.95843524050551,65.95843524050551,121.19238506737933,51,102,143,64.70588235294117,OOS,daily_1,F10_KOSDAQ만,S07_slope강한,F10_KOSDAQ만__S07_slope강한
255,25500000,16706242.598243695,42206242.5982437,65.51467685585763,65.51467685585763,117.26998985526326,49,101,150,65.09803921568627,OOS,daily_1,F10_KOSDAQ만,S08_외인매수강,F10_KOSDAQ만__S08_외인매수강
255,25500000,16563691.695394708,42063691.69539471,64.95565370743023,64.95565370743023,119.984388613087,48,99,145,65.09803921568627,OOS,daily_1,F10_KOSDAQ만,S09_52주고점근접,F10_KOSDAQ만__S09_52주고점근접
255,25500000,16339874.00761759,41839874.00761759,64.07793728477486,64.07793728477486,119.33997389115254,48,101,147,64.31372549019608,OOS,daily_1,F10_KOSDAQ만,S10_랜덤,F10_KOSDAQ만__S10_랜덤
173,17300000,11761957.2951383,29061957.2951383,67.98819245744681,67.98819245744681,107.57931693703712,23,61,96,65.89595375722543,OOS,weekly_2,F01_회피6,S01_거래대금낮,F01_회피6__S01_거래대금낮
173,17300000,8219721.977695663,25519721.977695663,47.51284380170904,47.512843801709046,96.26729884101694,24,47,77,55.49132947976878,OOS,weekly_2,F01_회피6,S02_거래대금높,F01_회피6__S02_거래대금높
173,17300000,7984099.626166163,25284099.626166165,46.15086489113389,46.15086489113389,92.52953688006001,22,43,85,62.42774566473989,OOS,weekly_2,F01_회피6,S03_점수낮,F01_회피6__S03_점수낮
173,17300000,5678313.581952361,22978313.581952363,32.82262186099631,32.82262186099631,80.53501900248179,21,42,84,60.69364161849711,OOS,weekly_2,F01_회피6,S04_점수높,F01_회피6__S04_점수높
173,17300000,4503902.760767142,21803902.760767143,26.034120004434346,26.034120004434342,58.91942082991323,8,30,55,57.80346820809249,OOS,weekly_2,F01_회피6,S05_변동성낮,F01_회피6__S05_변동성낮
173,17300000,12982930.396639016,30282930.396639016,75.04584044300009,75.04584044300009,132.55100669556492,36,82,110,70.52023121387283,OOS,weekly_2,F01_회피6,S06_변동성높,F01_회피6__S06_변동성높
173,17300000,11007889.826871222,28307889.826871224,63.629420964573534,63.629420964573534,113.07711964289926,29,65,94,67.05202312138728,OOS,weekly_2,F01_회피6,S07_slope강한,F01_회피6__S07_slope강한
173,17300000,9335638.08250878,26635638.08250878,53.96322591045538,53.96322591045538,96.02197004385397,20,46,84,64.16184971098265,OOS,weekly_2,F01_회피6,S08_외인매수강,F01_회피6__S08_외인매수강
173,17300000,9788529.162428798,27088529.162428796,56.58109342444392,56.58109342444392,100.10994283042162,26,46,88,65.3179190751445,OOS,weekly_2,F01_회피6,S09_52주고점근접,F01_회피6__S09_52주고점근접
173,17300000,7604797.614914856,24904797.614914857,43.95836771627084,43.95836771627084,91.0105893555345,22,53,92,60.69364161849711,OOS,weekly_2,F01_회피6,S10_랜덤,F01_회피6__S10_랜덤
