buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d,rank,combo,set,YYYYMM
2025-07-07,000080,하이트진로,KOSPI,21750.0,1000000.0,2026-04-02,16600.0,-23.678160919540225,1.6091954022988464,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-08,071320,지역난방공사,KOSPI,88000.0,1000000.0,2026-04-03,71900.0,-18.295454545454547,32.61363636363637,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-11,089890,코세스,KOSDAQ,8160.0,1000000.0,2026-04-08,22400.0,174.50980392156862,299.5098039215686,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-17,006280,녹십자,KOSPI,142800.0,1000000.0,2026-04-14,144000.0,0.8403361344537785,28.711484593837543,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-18,178920,PI첨단소재,KOSPI,21400.0,1000000.0,2026-04-15,23900.0,11.682242990654213,30.373831775700943,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-21,020150,롯데에너지머티리얼즈,KOSPI,26450.0,1000000.0,2026-04-16,48850.0,84.68809073724009,93.95085066162572,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-23,089890,코세스,KOSDAQ,9500.0,1000000.0,2026-04-20,34900.0,267.36842105263156,284.2105263157895,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-24,267270,HD건설기계,KOSPI,94600.0,1000000.0,2026-04-21,176200.0,86.25792811839324,88.16067653276956,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,1000000.0,2026-04-23,36650.0,87.94871794871794,94.61538461538461,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-07
2025-08-04,009150,삼성전기,KOSPI,150300.0,1000000.0,2026-04-30,832000.0,453.5595475715236,483.4996673320027,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-05,009150,삼성전기,KOSPI,155700.0,1000000.0,2026-05-04,918000.0,489.5953757225434,494.0912010276172,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-06,457190,이수스페셜티케미컬,KOSPI,51100.0,1000000.0,2026-05-06,121800.0,138.35616438356166,157.9256360078278,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-08,009150,삼성전기,KOSPI,160100.0,1000000.0,2026-05-08,914000.0,470.89319175515305,506.49594003747654,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-11,003670,포스코퓨처엠,KOSPI,162900.0,1000000.0,2026-05-11,280000.0,71.88459177409455,83.85512584407613,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-12,023160,태광,KOSDAQ,25000.0,1000000.0,2026-05-12,37350.0,49.4,105.2,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-13,009150,삼성전기,KOSPI,162900.0,1000000.0,2026-05-13,1029000.0,531.6758747697974,550.7059545733579,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2025-08-18,077970,STX엔진,KOSPI,38600.0,1000000.0,2026-05-15,45850.0,18.78238341968912,75.38860103626943,1,F05_slope05_For양__S08_외인매수강,OOS_daily_1,2025-08
2024-01-02,003230,삼양식품,KOSPI,234500.0,1000000.0,2024-09-26,548000.0,133.68869936034113,206.18336886993603,2,F03_slope_10__S01_거래대금낮,OOS_daily_1,2024-01
