Date,Code,Name,Market,Close,Amount,Score,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,YYYYMM
2024-10-31,214430,아이쓰리시스템,KOSDAQ,38500.0,5701080000.0,52.98,mixed,8.925869894099847,-15.492957746478876,-26.530612244897956,2.2938733323948637,-21.700879765395896,223.63636363636363,204.15584415584416,2025-07-29,117100.0,19118.0,-49565.0,51568.0,-79934.0,35.15,4.57,646000000000.0,2024,2024-10
2023-08-24,006730,서부T&D,KOSDAQ,8632.0,5735402920.0,56.22,mixed,20.20672586985006,14.712420116699088,-3.3138173302107776,3.1488362107738985,-8.98100172711571,6.024096385542177,-12.998146431881374,2024-05-23,7510.0,,,,,9.83,0.71,769400000000.0,2023,2023-08
2023-02-14,083450,GST,KOSDAQ,12228.0,5736154800.0,59.2,pullback_recovery,-2.3535431056536216,-0.6507027589796932,-33.187467180115526,0.1381167810215229,-17.414814179040427,29.49787373241741,-10.860320575727833,2023-11-08,10900.0,32808.0,35857.0,77322.0,18644.0,19.79,3.42,1087400000000.0,2023,2023-02
2025-02-24,094170,동운아나텍,KOSDAQ,21400.0,5746777400.0,52.26,mixed,18.869445084043292,20.134970038978416,-6.13636363636364,4.351285552811337,-14.003141544010699,11.91588785046729,-5.1401869158878455,2025-11-19,20300.0,-86927.0,1019.0,116882.0,13927.0,162.92,13.36,923200000000.0,2025,2025-02
2024-07-03,037460,삼지전자,KOSDAQ,9400.0,5753599000.0,61.0,sideways,-1.467268623024831,6.463414634146347,-6.730769230769229,-0.23759748265789626,-6.730769230769229,16.48936170212767,0.0,2025-04-02,9400.0,,,,,10.42,1.48,788200000000.0,2024,2024-07
2024-07-03,037460,삼지전자,KOSDAQ,9400.0,5753599000.0,63.66,sideways,-1.467268623024831,6.463414634146347,-6.730769230769229,-0.23759748265789626,-6.730769230769229,16.48936170212767,0.0,2025-04-02,9400.0,,,,,10.42,1.48,788200000000.0,2024,2024-07
2024-07-03,037460,삼지전자,KOSDAQ,9400.0,5753599000.0,60.95,sideways,-1.467268623024831,6.463414634146347,-6.730769230769229,-0.23759748265789626,-6.730769230769229,16.48936170212767,0.0,2025-04-02,9400.0,,,,,10.42,1.48,788200000000.0,2024,2024-07
2025-01-06,171090,선익시스템,KOSDAQ,47600.0,5791968000.0,51.8,pullback_recovery,-14.095238095238095,-9.980039920159678,-36.29943502824858,-2.167115150142979,-25.341130604288498,10.504201680672276,-1.995798319327735,2025-09-30,46650.0,47470.0,7116.0,-50175.0,125470.0,9.39,5.82,958700000000.0,2025,2025-01
2025-03-11,102940,코오롱생명과학,KOSDAQ,34850.0,5821030350.0,47.83,new_high_240,73.24675324675324,64.28571428571428,0.0,5.062520122366115,-12.824956672443676,77.04447632711621,58.967001434720224,2025-12-03,55400.0,-2483.0,9063.0,57440.0,14480.0,27.19,1.2,712100000000.0,2025,2025-03
2022-04-08,031330,에스에이엠티,KOSDAQ,4525.0,5831697825.0,64.21,mixed,0.11904761904761862,-20.809792843691145,-28.607809847198638,1.0133283652416156,-12.514757969303425,4.8618784530386705,-38.34254143646408,2022-12-28,2790.0,,,,,5.1,2.11,1558900000000.0,2022,2022-04
