Date,Name,Code,Market,Close,ChangeRatio,Score,pos_252_high,past_120,slope60,chart_pattern,s10,s12,is_first_pullback,new_high_252,ret_180d,ret_365d
2024-04-24,OCI,456040,KOSPI,93100.0,10.18,50.97,-46.721311475409834,-19.216061185468448,-2.3815622254019724,pullback_recovery,31.9,70,True,False,-24.06015037593985,-34.69387755102041
2024-03-22,네이처셀,007390,KOSDAQ,8140.0,8.82,54.0,-69.65517241379311,-9.443099273607746,-2.0424574128938566,pullback_recovery,30.9,70,True,False,160.44226044226045,153.68550368550368
2024-01-05,필에너지,378340,KOSDAQ,23100.0,20.06,46.14,-66.42233856893543,,-4.098105237355827,pullback_recovery,59.2,100,True,False,-24.329004329004327,-45.36796536796537
2023-12-05,에스디바이오센서,137310,KOSPI,13250.0,10.42,54.54,-64.49704142011834,-24.29022082018928,-1.5298456902238458,pullback_recovery,36.5,70,True,False,-19.0188679245283,-12.0
2023-11-20,롯데에너지머티리얼즈,020150,KOSPI,43050.0,4.11,47.6,-42.886740331491715,-27.456140350877188,-3.625941536930315,pullback_recovery,33.0,100,True,False,-18.81533101045296,-54.16957026713124
2023-11-20,네이처셀,007390,KOSDAQ,8200.0,13.57,41.78,-70.70993914807302,-32.52336448598131,-1.4703470672360968,pullback_recovery,34.8,70,True,False,24.146341463414632,189.02439024390242
2023-11-07,빛과전자,069540,KOSDAQ,3650.0,16.99,45.52,-46.391752577319586,0.8077544426494443,-7.369115106696365,pullback_recovery,45.4,40,False,False,-34.794520547945204,-75.5068493150685
2023-11-01,다날,064260,KOSDAQ,3705.0,6.77,52.84,-44.391025641025635,-16.28468033775633,-2.1814941651060398,pullback_recovery,30.3,70,True,False,0.9446693657219973,-24.426450742240217
2023-09-25,위메이드맥스,101730,KOSDAQ,11370.0,20.83,55.05,-54.20924574209246,-41.40722291407223,-3.1564642981807083,pullback_recovery,51.7,50,False,False,-17.590149516270888,-36.23570800351803
2023-09-13,000910,000910,?,6170.0,4.75,52.52,-48.014121800529566,6.12612612612613,-2.8262072671101492,pullback_recovery,23.1,70,True,False,-13.776337115072934,-15.235008103727715
2023-08-31,CJ,001040,KOSPI,70300.0,4.3,54.0,-41.340295909486514,-27.6824034334764,-2.301766524953503,pullback_recovery,25.2,70,True,False,94.45234708392604,45.80369843527738
2023-08-28,신세계인터내셔날,031430,KOSPI,18450.0,10.88,46.1,-42.62068965517242,-27.017543859649116,-1.2738554787663914,pullback_recovery,30.4,100,True,False,-7.046070460704606,-45.14905149051491
2023-08-03,씨젠,096530,KOSDAQ,25200.0,13.51,57.54,-45.91961023142509,-22.10526315789474,-2.985269395495398,pullback_recovery,40.4,50,False,False,-12.103174603174603,-8.134920634920634
2023-06-27,화승엔터프라이즈,241590,KOSPI,8750.0,10.2,59.8,-43.285714285714285,-16.684155299055615,-2.521711243909448,pullback_recovery,38.7,70,True,False,-13.600000000000001,-1.6
2023-06-01,우주일렉트로,065680,KOSDAQ,15090.0,11.53,52.22,-56.91082802547771,-20.17699115044248,-3.3254836019448604,pullback_recovery,17.5,70,True,False,8.018555334658714,-11.663353214049039
2023-05-25,PS일렉트로닉스,332570,KOSDAQ,3315.0,14.51,48.74,-45.78651685393258,-20.90163934426229,-1.6539622234940792,pullback_recovery,34.5,70,False,False,21.568627450980394,-35.14328808446455
2023-05-12,002410,002410,?,3165.0,4.63,57.54,-50.08250825082507,-19.973544973544975,-4.175282047457407,pullback_recovery,30.5,100,True,False,-45.05529225908373,-58.48341232227489
2023-02-22,006880,006880,?,7250.0,9.52,54.44,-64.11924119241192,-39.543378995433784,-1.2877320512433497,pullback_recovery,34.5,100,False,False,-11.862068965517242,-5.241379310344827
2023-02-21,한일시멘트,300720,KOSPI,12690.0,9.59,55.4,-46.88073394495413,-24.31372549019608,-1.4552887264954577,pullback_recovery,30.8,100,False,False,0.8668242710795903,12.214342001576044
2023-01-27,흥아해운,003280,KOSPI,1498.0,5.57,56.88,-60.583333333333336,-21.602209944751383,-1.7015017436025808,pullback_recovery,26.3,70,True,False,36.849132176234974,42.523364485981304
2022-11-23,카카오게임즈,293490,KOSDAQ,43300.0,5.22,51.67,-62.14351425942962,-30.840336134453782,-4.280614879117689,pullback_recovery,32.0,100,True,False,-31.177829099307157,-50.57736720554272
2022-11-18,004870,004870,?,565.0,11.22,72.96,-55.044247787610615,-26.055312954876275,-1.035580985180117,pullback_recovery,2.2,100,True,False,-4.070796460176991,-15.398230088495577
2022-11-17,알루코,001780,KOSPI,3265.0,25.34,58.19,-43.61471861471862,-23.49486049926579,-4.4842602633291415,pullback_recovery,77.9,70,False,False,16.84532924961715,3.0627871362940278
2022-11-14,효성티앤씨,298020,KOSPI,352500.0,12.44,52.8,-50.39556962025317,-15.384615384615385,-2.140113986512554,pullback_recovery,38.2,100,True,False,-1.9858156028368796,3.120567375886525
2022-11-10,SOOP,067160,KOSDAQ,87400.0,17.63,53.55,-68.64978902953587,-24.949494949494955,-1.1574897426043567,pullback_recovery,8.7,80,False,False,-2.2883295194508007,27.80320366132723
2022-11-08,동진쎄미켐,005290,KOSDAQ,32900.0,9.3,41.22,-40.98039215686274,-26.852976913730252,-3.874589000136065,pullback_recovery,39.2,100,False,False,24.924012158054712,35.1063829787234
2022-11-07,041920,041920,?,5360.0,15.02,53.23,-52.05761316872428,-18.673647469458988,-2.8038629465369946,pullback_recovery,19.5,70,True,False,11.753731343283583,15.298507462686567
2022-11-04,코세스,089890,KOSDAQ,8600.0,6.3,55.16,-49.90712074303405,-23.317535545023695,-5.555296648043839,pullback_recovery,30.5,70,True,False,35.581395348837205,75.0
2022-11-01,093240,093240,?,1348.0,6.23,48.31,-64.533258803801,-26.349390597794542,-4.90022065109494,pullback_recovery,34.7,70,True,False,-12.537091988130564,-20.548961424332344
2022-10-31,대동,000490,KOSPI,11450.0,11.17,41.51,-43.25068870523416,-43.25068870523416,-4.397905728861474,pullback_recovery,38.0,70,True,False,-3.2314410480349345,3.2314410480349345
2022-10-27,국일제지,078130,KOSDAQ,13110.0,16.43,42.08,-53.73870172555464,-37.270194986072426,-5.759783924840191,pullback_recovery,32.5,50,False,False,-67.20061022120518,-67.20061022120518
2022-10-18,SOOP,067160,KOSDAQ,79900.0,7.97,47.06,-68.77637130801688,-47.36842105263158,-4.889029857336501,pullback_recovery,31.4,70,True,False,-11.13892365456821,45.30663329161452
2022-08-31,덕산테코피아,317330,KOSDAQ,20050.0,23.01,55.05,-53.889674681753895,-38.37429111531191,-1.1905299737791883,pullback_recovery,43.6,100,True,False,-6.433915211970074,40.89775561097257
2022-08-25,378850,378850,?,4420.0,20.44,49.9,-43.88379204892966,-17.52808988764045,-2.693718713395175,pullback_recovery,55.7,70,True,False,5.88235294117647,-0.11312217194570137
2022-08-19,DH오토넥스,000300,KOSPI,18296.0,8.35,44.84,-41.4514059845359,-26.310277111062618,-2.232079942550828,pullback_recovery,34.5,70,False,False,-12.472671622212506,-81.34018364669873
2022-08-05,삼성제약,001360,KOSPI,3650.0,16.09,50.83,-53.907051751942525,-19.89808917197452,-2.456524663730106,pullback_recovery,39.8,100,True,False,-28.712328767123285,-43.83561643835616
2022-07-14,진원생명과학,011000,KOSPI,14850.0,26.38,58.4,-68.8848873235707,-21.666666666666668,-1.271325786702651,pullback_recovery,69.2,70,True,False,-54.34343434343434,-81.34680134680134
2022-06-14,삼성제약,001360,KOSPI,3514.0,7.0,40.35,-65.21554920029658,-29.693855705416393,-2.725957617449305,pullback_recovery,26.4,100,False,False,-31.104154809334094,-40.8651109846329
2022-05-10,웅진,016880,KOSPI,2170.0,17.93,70.12,-52.02086049543677,-9.582309582309579,-1.3293840359918616,pullback_recovery,31.5,100,True,False,-36.175115207373274,-47.05069124423963
2022-03-23,011390,011390,?,108500.0,16.42,51.9,-43.17073170731708,-27.47081712062257,-2.718498103871104,pullback_recovery,37.7,100,True,False,-23.410138248847925,-38.064516129032256
2022-03-21,선진,136490,KOSPI,12300.0,14.95,64.87,-50.34802784222738,-28.666666666666664,-1.343142233811042,pullback_recovery,36.8,100,True,False,-29.67479674796748,-36.91056910569105
2022-02-23,한화오션,042660,KOSPI,23987.0,21.9,57.4,-45.03812529676284,-17.809706791412584,-2.8519752056733356,pullback_recovery,40.8,70,True,False,-25.372076541459958,60.37020052528453
2022-02-22,부광약품,003000,KOSPI,11654.0,12.34,42.98,-59.247328724072915,-44.225806451612904,-3.6495501632783056,pullback_recovery,30.3,70,True,False,-34.51175562038785,-44.156512785309765
2022-02-17,콜마비앤에이치,200130,KOSDAQ,34700.0,9.98,53.74,-44.74605954465849,-21.905940594059402,-1.7041628526524835,pullback_recovery,37.7,65,False,False,-33.71757925072046,-49.68299711815562
2022-01-17,모베이스전자,012860,KOSDAQ,2250.0,12.78,46.6,-40.97633136094675,-11.72566371681416,-2.977759036450263,pullback_recovery,34.5,70,True,False,-45.77777777777778,26.0
